slug	repo_id	url	date	n_rows	n_with_proof	proof_field	multiple_proofs_per_theorem	benchmark	model	verified_claim	bytes_downloaded	notes
ai4math-nemotron	charliemeyer2000/ai4math-lean	https://huggingface.co/datasets/charliemeyer2000/ai4math-lean	2026-03-31	500000	337687	lean4_code	no	NVIDIA Nemotron proof corpus	NVIDIA Nemotron	VERIFIED: v4210_is_valid recompilation flag (105,124/338,059 valid in shard 0)	1731695877	Only shard train-00000 of 3 downloaded; bytes_downloaded on this row covers the WHOLE shared charliemeyer2000/ai4math-lean download that all ai4math-* rows read from; CAPPED: 2000 of 337687 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
ai4math-numinamath	charliemeyer2000/ai4math-lean	https://huggingface.co/datasets/charliemeyer2000/ai4math-lean	2026-03-31	104155	31599	lean4_code	no	NuminaMath-LEAN	mixed	NOT re-verified (v4210_is_valid 0)	3689580	CAPPED: 2000 of 31599 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
ai4math-putnam2025	charliemeyer2000/ai4math-lean	https://huggingface.co/datasets/charliemeyer2000/ai4math-lean	2026-03-31	24	12	lean4_code	no	Putnam 2025	mixed	VERIFIED: v4210_is_valid 12/12	530309	12 standalone .lean files emitted
algoveri-lean	lizn-zn/algoveri-lean	https://huggingface.co/datasets/lizn-zn/algoveri-lean	2026-03-25	156	0	lean_code / .lean files	no	algorithm verification specs	n/a	EXCLUDED: specification files whose proofs are `sorry` (statements only)	336171	0 emitted
banach1729-goedel-workbook	banach1729/goedel-workbook-lean427	https://huggingface.co/datasets/banach1729/goedel-workbook-lean427	2026-03-22	12617	12615	.lean files	no	LeanWorkbook	DeepSeek-Prover-V1.5 (via Goedel-LM/Lean-workbook-proofs)	VERIFIED: card reports 28,016/29,750 (94.1%) recompile on Lean 4.27/Mathlib v4.27	54744620	Fetched via git clone (10,000 of ~29,750 .lean files present in shallow clone); CAPPED: 2000 of 12615 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
cartinoe-dsproverv2	Cartinoe5930/DeepSeek-Prover-V2-dataset	https://huggingface.co/datasets/Cartinoe5930/DeepSeek-Prover-V2-dataset	2025-05-26	66722	11394	messages (```lean4 block)	no	LeanWorkbook	DeepSeek-Prover-V2	CLAIMED verified	29394334	CAPPED: 2000 of 11394 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
cartinoe-lean-solution	Cartinoe5930/lean_solution	https://huggingface.co/datasets/Cartinoe5930/lean_solution	2025-05-21	1000	469	.lean files	no	LeanWorkbook	DeepSeek-Prover-V2	CLAIMED verified	2536401	Repo is 1001 individual .lean files; 469 standalone .lean files emitted
desaxce-numinalean	desaxce/filtered-numinamath-lean	https://huggingface.co/datasets/desaxce/filtered-numinamath-lean	2025-09-14	9448	3926	formal_proof	no	NuminaMath-LEAN	NuminaMath-LEAN prover	CLAIMED verified (filtered subset)	20946337	CAPPED: 2000 of 3926 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
epfl-sft-classic-numina	formalmathatepfl/sft_classic_numina	https://huggingface.co/datasets/formalmathatepfl/sft_classic_numina	2026-06-05	99774	33009	lean_code + valid	no	NuminaMath	EPFL formal-math prover	VERIFIED: per-row `valid` flag	73622076	CAPPED: 2000 of 33009 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
goedel-v2-minif2f-eval	dshen-crusoe/Goedel-Prover-V2-eval	https://huggingface.co/datasets/dshen-crusoe/Goedel-Prover-V2-eval	2026-06-08	662	0	lean4_code	no	miniF2F, MOBench	n/a	EXCLUDED: files are eval INPUTS (statements with sorry), not model outputs	1028976	0 emitted
iiis-numinalean-artifacts	iiis-lean/NuminaMath-LEAN-Proof-Artifacts	https://huggingface.co/datasets/iiis-lean/NuminaMath-LEAN-Proof-Artifacts	2026-03-09	36679	29868	prover_formal_proof (+ human_formal_proof)	paired: 1 prover proof + 1 human proof of the SAME theorem	NuminaMath-LEAN	prover model vs human	VERIFIED: prover_validation_status / prover_proof_available	311696032	14.9GB repo; downloaded the 5 `lite` parquet shards only (309MB); CAPPED: 2000 of 29868 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
iiis-numinalean-sol	iiis-lean/NuminaMath-LEAN-Sol	https://huggingface.co/datasets/iiis-lean/NuminaMath-LEAN-Sol	2026-01-23	81311	20396	formal_proof	no	NuminaMath-LEAN	prover model (rows with proof_source != human)	VERIFIED per card; human-authored proofs excluded here	243367339	CAPPED: 2000 of 20396 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
internlm-lean-workbook	internlm/Lean-Workbook	https://huggingface.co/datasets/internlm/Lean-Workbook	2024-10-09	165428	223156	proof (list per theorem)	YES: proof is a LIST -> many proofs per theorem (223,156 proofs)	LeanWorkbook	InternLM2-StepProver / InternLM-Math-Plus	VERIFIED: card states proofs are Lean-compiler-checked search results	99847904	CAPPED: 2000 of 223156 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
juppy44-numinalean-hints	juppy44/NuminaMath-LEAN-hints-qwen35-9b-openrouter	https://huggingface.co/datasets/juppy44/NuminaMath-LEAN-hints-qwen35-9b-openrouter	2026-06-22	9475	3926	formal_proof	no	NuminaMath-LEAN	Qwen3.5-9B (hint-augmented)	CLAIMED verified	25099840	CAPPED: 2000 of 3926 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
kevew-minif2f-kimina8b	Kevew/minif2f-kiminaprover8b-inferenced	https://huggingface.co/datasets/Kevew/minif2f-kiminaprover8b-inferenced	2025-07-27	485	311	proof/full	no	miniF2F-derived (theorem dummy statements)	Kimina-Prover-8B	PARTIAL: `success` boolean per row; only success=true kept	394430	Statements renamed `theorem dummy` -> cannot be matched to miniF2F names; 311 standalone .lean files emitted
leanabell-sft	stoney0062/Leanabell-Prover-Traindata-SFT	https://huggingface.co/datasets/stoney0062/Leanabell-Prover-Traindata-SFT	2025-04-16	218988	218905	prompt(```lean4 header)+output	no	LeanWorkbook / mixed	Leanabell-Prover (DeepSeek-Prover-V1.5 based)	CLAIMED verified SFT corpus	380020293	CAPPED: 2000 of 218905 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
leanabell-v2-coldstart	stoney0062/Leanabell-Prover-V2-Coldstart-DS	https://huggingface.co/datasets/stoney0062/Leanabell-Prover-V2-Coldstart-DS	2025-08-22	0	0	conversations	no	mixed	Leanabell-Prover-V2	EXCLUDED: could not parse conversations JSON structure	55678396	0 proofs extracted; downloaded but not emitted
lukebailey-dsprover-sols	LukeBailey181/minif2f_proofnet_lean_workbook_deepseek_prover_sols	https://huggingface.co/datasets/LukeBailey181/minif2f_proofnet_lean_workbook_deepseek_prover_sols	2025-06-24	23068	23066	proof (+header,theorem)	no (1 solution per theorem)	miniF2F test/valid, ProofNet test/valid, LeanWorkbook(+plus)	DeepSeek-Prover-V2	CLAIMED verified (repo of solutions); no per-row flag	6978245	CAPPED: 2000 of 23066 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
lukebailey-dsprover-sols-v0	LukeBailey181/minif2f_proofnet_deepseek_prover_sols	https://huggingface.co/datasets/LukeBailey181/minif2f_proofnet_deepseek_prover_sols	2025-06-24	23068	23066	proof (+header,theorem)	no	miniF2F, ProofNet, LeanWorkbook	DeepSeek-Prover-V2	CLAIMED verified; near-duplicate of the other LukeBailey181 repo	6984245	Content identical byte-size to sibling repo; kept both for provenance; CAPPED: 2000 of 23066 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
maoliyuan-lw-filtered	maoliyuan/filtered-lean-workbook-proofs	https://huggingface.co/datasets/maoliyuan/filtered-lean-workbook-proofs	2025-06-25	28649	28641	full_proof	no	LeanWorkbook	DeepSeek-Prover-V1.5 lineage (Goedel Lean-workbook-proofs derivative)	CLAIMED compiled	27327734	CAPPED: 2000 of 28641 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
maoliyuan-lw-standard	maoliyuan/standard-lean-workbook-proofs	https://huggingface.co/datasets/maoliyuan/standard-lean-workbook-proofs	2025-06-25	29743	29735	full_proof	no	LeanWorkbook	DeepSeek-Prover-V1.5 lineage	CLAIMED compiled	28347541	CAPPED: 2000 of 29735 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
paug-proofnetverif	PAug/ProofNetVerif	https://huggingface.co/datasets/PAug/ProofNetVerif	2025-03-24	3752	0	lean4_prediction + correct	no	ProofNet	autoformalization models	EXCLUDED: predictions are STATEMENTS (end in sorry), not proofs	406549	0 emitted
qwen3-8b-minif2f	DopeorNope/qwen3-8b-minif2f-test	https://huggingface.co/datasets/DopeorNope/qwen3-8b-minif2f-test	2025-12-29	244	187	gen_lean4 / gen_lean_file	YES (sample_idx)	miniF2F (autoformalized statements)	Qwen/Qwen3-8B	NOT VERIFIED; also statement is model-generated (autoformalization), so theorem may differ from reference	1256276	187 standalone .lean files emitted
rootacess-lean-sft	rootacess/Lean-SFT-dataset	https://huggingface.co/datasets/rootacess/Lean-SFT-dataset	2026-02-11	25771	25729	lean_proof	no	unspecified	unspecified	NOT VERIFIED: no flag	27357809	CAPPED: 2000 of 25729 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
slim205-lw-hard-goals	Slim205/lean_workbook_hard_goals	https://huggingface.co/datasets/Slim205/lean_workbook_hard_goals	2025-07-16	2774	127	proof + is_proved	YES	LeanWorkbook (hard subset)	Slim205 RL prover	VERIFIED per-row is_proved	946760	127 standalone .lean files emitted
slim205-lw-rl-minif2f	Slim205/lean_workbook_RL_minif2f	https://huggingface.co/datasets/Slim205/lean_workbook_RL_minif2f	2025-07-03	24434	11742	proof + is_proved	YES across the Slim205 RL versions (same lean_workbook ids)	LeanWorkbook	Slim205 RL-trained prover (Goedel/Kimina lineage)	VERIFIED per-row is_proved flag; only is_proved!=False kept	5265101	CAPPED: 2000 of 11742 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
slim205-lw-rl-v13	Slim205/lean_workbook_RL_V13	https://huggingface.co/datasets/Slim205/lean_workbook_RL_V13	2025-07-06	20966	2600	proof + is_proved	YES (versioned reruns of same problems)	LeanWorkbook	Slim205 RL prover	VERIFIED per-row is_proved	11814622	CAPPED: 2000 of 2600 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
slim205-lw-rl-v14	Slim205/lean_workbook_RL_V14	https://huggingface.co/datasets/Slim205/lean_workbook_RL_V14	2025-07-07	21069	2602	proof + is_proved	YES	LeanWorkbook	Slim205 RL prover	VERIFIED per-row is_proved	10256233	CAPPED: 2000 of 2602 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
slim205-lw-rl-v20	Slim205/lean_workbook_RL_V20	https://huggingface.co/datasets/Slim205/lean_workbook_RL_V20	2025-07-12	12434	5937	proof + is_proved	YES	LeanWorkbook	Slim205 RL prover	VERIFIED per-row is_proved	3381344	CAPPED: 2000 of 5937 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
slim205-math-kimina15b	Slim205/math_res_Kimina-Prover-Preview-Distill-1.5B_32_50	https://huggingface.co/datasets/Slim205/math_res_Kimina-Prover-Preview-Distill-1.5B_32_50	2025-06-09	1600	0	proof / llm_output	no	MATH	Kimina-Prover-Preview-Distill-1.5B	PARTIAL: `result` flag	64909	
stp-lean	kfdong/STP_Lean	https://huggingface.co/datasets/kfdong/STP_Lean	2025-03-24	496788	495326	target (proof body) + prompt (```lean4 statement)	YES: many targets per statement across self-play iterations	LeanWorkbook + STP self-generated conjectures	STP (Self-play Theorem Prover)	VERIFIED: RL corpus, proofs accepted only if Lean-verified during self-play	349435973	1.2GB repo; downloaded shards 0-1 of 7; CAPPED: 2000 of 495326 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
stp-lean-0320	kfdong/STP_Lean_0320	https://huggingface.co/datasets/kfdong/STP_Lean_0320	2025-03-24	652512	651492	target + prompt	YES	LeanWorkbook + STP conjectures	STP	VERIFIED (self-play accepted proofs)	348747640	1.7GB repo; downloaded shards 0-1 of 10; CAPPED: 2000 of 651492 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
stp-lean-sft	kfdong/STP_Lean_SFT	https://huggingface.co/datasets/kfdong/STP_Lean_SFT	2025-02-09	98268	96105	target + prompt	no	Mathlib + LeanWorkbook	STP SFT (Mathlib extraction + model proofs)	MIXED: contains Mathlib human proofs as well as model proofs	374251506	871MB repo; downloaded shards 0-1 of 5 + eval shard; CAPPED: 2000 of 96105 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
stp-lean-sft-eval	tttx/STP_Lean_SFT_eval	https://huggingface.co/datasets/tttx/STP_Lean_SFT_eval	2025-03-01	3514	3382	target + prompt	no	STP SFT eval split	STP	MIXED	61359266	CAPPED: 2000 of 3382 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
vincentoh-erdos-opus	vincentoh/erdos741ii-lean4-opus-traces	https://huggingface.co/datasets/vincentoh/erdos741ii-lean4-opus-traces	2026-06-10	39	0	messages	YES	Erdos problem 741ii	claude-opus-4-8 agent	EXCLUDED: Lean code lives inside Edit tool-call payloads, not extractable as fenced blocks	297419	0 emitted
vincentoh-rrma-traces	vincentoh/rrma-lean4-agent-traces	https://huggingface.co/datasets/vincentoh/rrma-lean4-agent-traces	2026-06-10	416	10	messages (agent trace) + reward	YES: many sessions per problem	Erdos / RRMA agent tasks	claude-opus-4-8 agent	VERIFIED: oracle reward==1.0 rows only	14968432	10 standalone .lean files emitted
vivacem-goedel-workbook-sft	Vivacem/goedel-workbook-sft	https://huggingface.co/datasets/Vivacem/goedel-workbook-sft	2025-03-13	29750	29742	full_proof	no	LeanWorkbook	Goedel-Prover-V1 / DeepSeek-Prover-V1.5	CLAIMED verified SFT corpus	35135151	CAPPED: 2000 of 29742 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
vivacem-lw-mixnl	Vivacem/lean-workbook-mixnl	https://huggingface.co/datasets/Vivacem/lean-workbook-mixnl	2025-03-18	280428	0	proof (list)	n/a	LeanWorkbook	n/a	EXCLUDED: proof lists empty in this release (prompt-mixing variant)	56488773	0 emitted
vivacem-pset10k-kimina17b	Vivacem/pset10k-kimina-1.7B-sft	https://huggingface.co/datasets/Vivacem/pset10k-kimina-1.7B-sft	2025-08-11	8842	8836	code	no	Goedel-Pset	AI-MO/Kimina-Prover-Distill-1.7B (metadata.generated_by)	CLAIMED verified SFT corpus	14257220	CAPPED: 2000 of 8836 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
yidan-dsproverv2	yidannwang/deepseek-prover-v2-results	https://huggingface.co/datasets/yidannwang/deepseek-prover-v2-results	2026-07-11	101992	8598	code inside verification*.json	YES: pass@1/8/16/32 + chunked putnam stages	miniF2F, ProofNet, PutnamBench	DeepSeek-Prover-V2-7B	VERIFIED: compilation_result.complete==true (Lean REPL) kept only	1163688097	Downloaded minif2f pass1/16/32, proofnet, putnam cumulative_pass@32 chunks; CAPPED: 2000 of 8598 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
yidan-goedel	yidannwang/goedel-results	https://huggingface.co/datasets/yidannwang/goedel-results	2026-07-11	73088	14783	code inside code_compilation_repl.json	YES: pass@8/16/32 over many runs	miniF2F, ProofNet, PutnamBench, MOBench	Goedel-Prover-V2 8B and 32B	VERIFIED: compilation_result.complete==true kept only	900330199	27GB repo; downloaded 9 selected run dirs (minif2f 32b s16/s32, 8b s16 x2, proofnet 32b/8b pass@32, putnam pass@32 chunks, mobench pass@8); CAPPED: 2000 of 14783 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
yidan-kimina	yidannwang/kimina-results	https://huggingface.co/datasets/yidannwang/kimina-results	2026-07-14	52226	8160	full_code (generation.jsonl) + verification.jsonl	YES: pass@1/8/16/32, generation_id per problem	miniF2F, ProofNet, PutnamBench, FATE-H/M	Kimina-Prover	VERIFIED: repo ships per-sample verification.jsonl with success flag; only success=true kept	1666243483	Downloaded minif2f pass1/8/16/32, proofnet pass1/32, putnam pass1/8 (skipped putnam pass32=2.3GB and fate_* to save disk); CAPPED: 2000 of 8160 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
yuxuan-lw-gptoss	Yuxuan13/gpt_oss_leanworkbook_with_responses_32k_demo	https://huggingface.co/datasets/Yuxuan13/gpt_oss_leanworkbook_with_responses_32k_demo	2026-02-11	10240	12392	model_responses	YES	LeanWorkbook	GPT-OSS	NOT VERIFIED	653753022	CAPPED: 2000 of 12392 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
yuxuan-lw-responses	Yuxuan13/leanworkbook_with_responses_32k_demo	https://huggingface.co/datasets/Yuxuan13/leanworkbook_with_responses_32k_demo	2025-12-12	10240	33268	model_responses (```lean4 block)	YES: multiple responses per problem	LeanWorkbook	unspecified LLM (32k demo)	NOT VERIFIED	447993892	CAPPED: 2000 of 33268 proofs emitted (coverage-stratified random sample, seed 0: round-robin over (benchmark,theorem) groups, named-benchmark groups first)
