slug	system_name	organization	url	date_collected	lean_or_other	toolchain_version	n_proof_files	n_proofs_estimate	format	verified_claim	proof_search_style	notes
dsp15rl-proofnet-sampling	DeepSeek-Prover-V1.5-RL, plain sampling on ProofNet	DeepSeek (outputs published by HF user 'autores')	https://huggingface.co/datasets/autores/DSP1.5RL-proofnet-sampling_16	2026-07-31	lean4	DeepSeek-Prover-V1.5 environment	639	5936 attempts over 349 ProofNet problems x 16 samples; 639 successes	parquet, same schema	yes - Lean REPL result per row	whole_proof	Undergraduate-level benchmark companion to the miniF2F run; lets you test whether proof structure shifts with problem level for a FIXED system and search style.
lean-star-base	Lean-STaR (base)	Haohan Lin, Sean Welleck et al. (ScalableMath)	https://huggingface.co/datasets/ScalableMath/Lean-STaR-base	2026-07-31	lean4	LeanDojo / Lean 4 Mathlib (version unpinned)	2000	84669 records	JSON (input = goal state, output = thought + tactic)	claimed (STaR rationalisation keeps only steps whose tactic succeeded)	stepwise_tactic (interleaved chain-of-thought before each tactic, best-first search at inference)	IMPORTANT ARCHITECTURAL CONTRAST but NOT whole proofs: records are single (state, thought, tactic) steps, so structural analysis must be done at the step level or the steps re-assembled. standalone/ emits one step per file as a commented Lean fragment - these will NOT compile standalone; flagged deliberately.
lean-star-plus	Lean-STaR (plus)	Haohan Lin, Sean Welleck et al. (ScalableMath)	https://huggingface.co/datasets/ScalableMath/Lean-STaR-plus	2026-07-31	lean4	as above	2000	61082 records	JSON (input/output)	claimed	stepwise_tactic	Same caveats as lean-star-base; 'plus' is the later expert-iteration round.
leanagent2603	LeanAgent2603 proof pack	TropicalFatFish (independent)	https://github.com/TropicalFatFish/LeanAgent2603-open	2026-07-31	lean4	leanprover/lean4:v4.27.0-rc1 (lean-toolchain + lake-manifest included)	419	419: 197/244 miniF2F-test + 222/424 FormalMATH-Lite	one .lean per theorem, comments stripped, 'import Mathlib' header	yes - repo ships scripts/verify_proofs.py which runs lake env lean on every file and asserts no sorry/admit/axiom/unsafe	agentic (LLM agent with Lean MCP tool loop; README references proof search, repair and agent workflows)	Genuinely standalone, sorry-free, one theorem per file - the cleanest drop-in corpus in this census. miniF2F overlap makes it directly comparable to DeepSeek-Prover-V2, Kimina, Goedel and the mcb re-runs already collected.
agenticsnz-unsorry	Unsorry (multi-agent Claude / Codex / Gemini pipeline)	agenticsnz	https://github.com/agenticsnz/unsorry	2026-07-31	lean4	leanprover/lean4:v4.30.0	2000	4747 .lean proof files under packages/*/library (11154 .lean in the repo overall incl. goal suites and tooling)	Lean project, one lemma/theorem per file	yes - CI-gated, axiom-audited (repo ships AxiomAudit/), no sorry survives	agentic (LLM coding agents driving lake builds)	Large agentic corpus at a modern toolchain; also ships benchmark-goals/ with Putnam/miniF2F/CombiBench goal statements. Cap 2000 of 4747.
plby-lean-proofs	Mixed frontier systems on Erdos problems (Aristotle, AlphaProof, Seed-Prover 1.5, GPT-5.x Pro, Gemini Deep Think, Claude Opus 4.5, Claude Fable 5) + human contributors	plby (community ledger backing google-deepmind/formal-conjectures)	https://github.com/plby/lean-proofs	2026-07-31	lean4	Lean 4 project (see repo lean-toolchain)	1401	1401 .lean files; ErdosProblems/ = ~205 files / ~19 MB covering ~190 problems	Lean project tree, multi-theorem files	yes for the compiled tree, BUT data/sources.yaml notes some proofs depend on trusted axioms declared in Axioms.lean	mixed (per-file: agentic, tree_search, whole_proof)	VALUABLE AND UNUSUALLY WELL-DOCUMENTED: data/sources.yaml is a ~201-entry provenance ledger that splits authorship into 'AI:' vs 'human:' per problem. MUST filter by that ledger before treating any file as AI-generated. Research-level (not competition) statements. Caveat: Axioms.lean means 'compiles' is weaker than usual here.
apollo-dspv2-o3	Apollo split-prover harness over DeepSeek-Prover-V2 and OpenAI o3	handler85 (independent)	https://github.com/handler85/apollo_dspv2_splitprover	2026-07-31	lean4	not pinned in repo root	758	1750 .lean in repo; 758 in final_proofs/ across 4 variants (dsv2_merror, dsv2_merror_desorrified, o3_merror, o3_merror_desorrified)	one .lean per problem + per-problem search logs	partially - '_desorrified' variants are the sorry-eliminated versions; the base variants may retain holes	subgoal_decomposition (Apollo splits a failing proof at error sites and re-proves the pieces)	Useful for the decomposition family and for a same-harness contrast between a specialised prover (DeepSeek-Prover-V2) and a general reasoning model (o3). Check per-file for residual sorry before use - the 'merror' naming refers to model-error repair.
matharena-arxivlean-outputs	MathArena ArxivLean model outputs (multiple frontier LLMs)	MathArena / ETH Zurich	https://huggingface.co/datasets/MathArena/arxivlean-0326_outputs	2026-07-31	lean4	MathArena harness (Lean 4 + Mathlib, version not pinned in card)	58	345 model-run rows over research-level statements drawn from March 2026 arXiv papers; 58 correct rows contained an extractable fenced Lean block	parquet (problem_idx, problem, model_name, model_config, all_messages, answer, formal_statement, correct)	yes - each row carries a boolean 'correct' from the harness	agentic / whole_proof depending on model_config	Small but structurally valuable: several DIFFERENT frontier models attempt the SAME research-level statements with a correctness label, including the full message trace. Yield is low because most rows are incorrect or return prose rather than a fenced Lean block.
aristotle-putnam25	Aristotle	Harmonic (files collected by N. Anand)	https://github.com/nanand2/aristotle_putnam25	2026-07-31	lean4	leanprover/lean4:v4.24.0 (stated in each file header: 'This file was generated by Aristotle')	10	10 Putnam 2025 problems	one .lean per problem, machine-generated header	yes - Harmonic-verified, lake project included	tree_search + agentic (Aristotle's automated prover, invoked via CLI)	DIRECT OVERLAP with the already-collected Seed-Prover-1.5 Putnam 2025 set (16 files) - two frontier systems on the same 2025 Putnam problems is a rare like-for-like comparison. Very small but high signal.
archon-firstproof	Archon	FrenzyMath	https://github.com/frenzymath/Archon-FirstProof-Results	2026-07-31	lean4	leanprover/lean4:v4.28.0	27	28 .lean in a single Lean project (27 under FirstProof/)	Lean project tree	yes - repo advertises 'zero sorrys, zero manually written code' and ships a HUMAN_INTERACTION_RECORD documenting the (minimal) human role	agentic	Notable for the explicit human-interaction record, which is unusual and lets you bound how much of the structure is human-shaped.
axiomprover-fc	AxiomProver	AxiomMath	https://github.com/AxiomMath/gdm-formal-conjectures	2026-07-31	lean4	leanprover/lean4:v4.28.0	2	2 solved formal-conjectures problems (BorweinSineSeries, OeisA6697), each as problem.lean + solution.lean	Lean project, paired problem/solution files	claimed (lake project)	agentic	Tiny, but the problem/solution pairing is clean and the files carry generation timestamps in comments ('-- Proof generation time: ...').
aleph-prover-proofs	Aleph Prover	Logical Intelligence	https://github.com/logical-intelligence/proofs	2026-07-31	lean4	leanprover/lean4:v4.26.0-rc2	1	1 proof (arxiv_id0911_2077_conjecture6_3, Telgarsky central binomial tail bound), from google-deepmind/formal-conjectures	Lean project	claimed	unknown (vendor does not describe the search architecture)	Aleph Prover ranks highly on lean-eval (61 problems) but publishes essentially nothing - this single file is the entire public output. Recorded mainly to document the non-release.
jayyhk-erdos-lean	Mixed frontier systems on Erdos problems (per-problem provenance)	Jayyhk (community)	https://github.com/Jayyhk/erdos-lean	2026-07-31	lean4	Lean 4 (see repo)	205	205 .lean problem files	one directory per Erdos problem number	claimed	mixed	Parallel/overlapping effort to plby-lean-proofs with its own provenance metadata; useful as a cross-check on authorship attribution for the Erdos corpus. Expect substantial statement overlap with plby-lean-proofs and with the already-collected AlphaProof Nexus ErdosProblems set.
theoremllama	TheoremLlama	RickySkywalker et al.	https://github.com/RickySkywalker/TheoremLlama	2026-07-31	lean4	Lean 4 (unpinned)	106	106 miniF2F-valid problems with proofs (MiniF2F_valid_partial_withProof_commented.json); MiniF2F_test_Lean4.json and MiniF2F_valid_Lean4.json are STATEMENTS ONLY	JSON (Name, Statement, Proof, Informal_statement, Informal_proof, Commented_proof)	unknown	whole_proof	PROVENANCE AMBIGUOUS - flag before use. This file is TheoremLlama's bootstrapping seed set; the 'Proof' field may be human-authored miniF2F-valid proofs rather than model output, while 'Commented_proof' is clearly LLM-written narration of the same proof. The Proof/Commented_proof pair is nevertheless a nice minimal test of whether narration changes measured structure.
internlm-lean-github	Lean-GitHub (HUMAN CONTROL)	Shanghai AI Laboratory	https://huggingface.co/datasets/internlm/Lean-Github	2026-07-31	lean4	mixed - compiled from 100+ Lean 4 repos at their own toolchains	0	218866 tactic-level records (url, commit, file_path, full_name, start, end, tactic, state_before, state_after)	parquet	n/a - extracted from compiling human repositories	n/a (human)	HUMAN CONTROL, not AI output. Same extraction format as internlm's wkbk_1009.parquet, so it is the matched human baseline for InternLM's stepwise proof data. No standalone extraction: records are tactic steps inside larger developments and cannot be made into compilable one-theorem files.
lean-eval-bench	lean-eval benchmark statements	Lean FRO	https://github.com/leanprover/lean-eval	2026-07-31	lean4	leanprover/lean4 pinned in repo (v4.30.0-rc2 era)	0	232 Submission.lean stubs, ALL sorry	Lean project	n/a	n/a	STATEMENTS ONLY - downloaded solely to align the lean-eval-submissions proofs against their goals. Do not count these as proofs.
itpeval	ITPEval benchmark	LeanDojo / Kaiyu Yang et al.	https://github.com/lean-dojo/ITPEval	2026-07-31	lean4 + rocq + isabelle + hollight	Lean 4 (Mathlib-sourced reference files)	0	minif2f/proofs/lean4: 244 test + 244 valid, ALL containing sorry (statements only). hundred-theorems/proofs/lean4: 77 files that ARE full proofs but are verbatim Mathlib source (human, e.g. Mario Carneiro's Irrational.lean). babel-formal: 16 files.	Lean/Rocq/Isabelle/HOL Light source files + eval JSON	n/a	n/a	NOT AN AI PROOF CORPUS - verified by inspection. The 'proofs' directory holds HUMAN reference proofs for a proof-TRANSLATION benchmark; model outputs go to a results/ directory that is empty in the public repo. Retained as a cross-ITP human reference set and to prevent it being re-collected as an AI source.
rrma-agent-traces	RRMA multi-agent Lean prover traces	vincentoh	https://huggingface.co/datasets/vincentoh/rrma-lean4-agent-traces	2026-07-31	lean4	not pinned	0	416 multi-agent proof-search sessions over 2 Erdos problems x 3 model tiers x 4 difficulty rungs; only 115/416 genuinely reached oracle score 1.0 (the card documents and corrects an earlier mislabelling)	parquet (messages, reward, session_id, model, rung, problem, n_turns, n_tool_calls, n_oracle_runs, last_oracle_score)	partially - reward is anchored to genuine oracle output, but 301/416 sessions never succeeded	agentic (tool-calling worker/oracle loop)	Kept as a TRACE corpus rather than a proof corpus: value is in turn counts, tool-call counts and repair dynamics, not in extractable standalone proofs. No standalone extraction attempted.
coq-modeling-results	Rango, Tactician, Proverbot9001, Graph2Tac (+ HUMAN control) on identical Coq theorems	Kyle Thompson et al., UCSD	https://github.com/rkthomps/coq-modeling	2026-07-31	rocq/coq	Coq (per-theorem compile_args recorded in each record)	8265	rango 3331, tactician 2575, proverbot 2021, graph2tac 265 successful proofs, human 10396 reference proofs; ~28 result JSONs incl. ablations, ~115 MB	JSON: {hardware, results:[{thm:{project,dir_name,commit_hash,compile_args,path,...}, proof: string|null, time: float}]}	yes - proof is non-null only when the theorem was closed; failures appear as proof:null with timeout traces	stepwise_tactic + tree_search (retrieval-augmented per-step tactic prediction under a 10-minute budget)	BEST NON-LEAN SOURCE BY FAR and structurally the closest analogue of the lean-eval design: FOUR provers plus a HUMAN control on the SAME theorems from real projects (compcert, fourcolor, buchberger, ...). Failures are recorded explicitly. standalone/ has one subdir per prover with .v fragments (cap 2000 each); these are proof bodies, not project-compilable units.
tactician-benchdata	Tactician (k-NN tactic prediction + cached best-first search)	coq-tactician	https://github.com/coq-tactician/benchmark-data	2026-07-31	rocq/coq	Coq / Tactician 2.5.3 (recorded per row)	0	thousands of SHA-named benchmark directories, each with combined.bench (~1 MB TSV); rows are thm_name, timeout, search_path, proof, wallclock, nodes; empty proof column = failure	TSV inside per-run directories	yes - proof column populated only on success, with node counts and wallclock	tree_search + stepwise_tactic	SIZE WARNING: the shallow clone is 4.7 GB (much larger than the ~346 MB the file listing suggested) - trim to the combined.bench TSVs if disk matters. Rich search-effort metadata (nodes expanded, wallclock) that almost no other corpus provides. No standalone extraction (proofs are inline tactic scripts inside TSV rows).
dsp-isabelle	Draft-Sketch-Prove (DSP)	Albert Q. Jiang, Wenda Li et al.	https://github.com/albertqjiang/draft_sketch_prove	2026-07-31	isabelle	Isabelle (miniF2F Isabelle port)	200	200 proofs over 200 distinct miniF2F problems (results/human_100_proofs.jsonl.tar.gz)	JSONL {problem_name, proof} -> extracted to .thy fragments	claimed (proofs were checked by Isabelle; ATP-closed leaves marked inline)	subgoal_decomposition	THE canonical subgoal-decomposition exemplar, and essentially the ENTIRE public Isabelle AI-proof corpus. 184/200 proofs carry explicit (*<ATP>*) ... (*</ATP>*) markers wrapping Sledgehammer-closed leaf steps inside have-chains, so the human/LLM-planned skeleton is machine-separable from the ATP-filled leaves - unusually good for structural analysis. PARTIAL RELEASE: only the human-informal-draft condition ships proofs; the Minerva conditions ship success NAME LISTS only.
subgoalxl-isabelle-v4	SubgoalXL expert-iteration corpus	Xueliang Zhao et al. (HKU / SambaNova)	https://huggingface.co/datasets/xl-zhao/formal_proof_v4_iter3	2026-07-31	isabelle	Isabelle (AFP/stdlib era)	2000	47051 rows	JSONL (prompt with informal statement + lemma, completion = Isar proof)	NO	n/a - see notes	MISLEADING NAME - VERIFIED NOT AN AI PROOF CORPUS. I sampled rows 0, 20000 and 40000: the FORMAL side is human Isabelle/Isar from the AFP and stdlib (e.g. pnet_never_newpkt', ht_distinct update lemmas, mset_subset_eq_insertD), while only the informal statement/proof narration is LLM-written - and it is frequently MISMATCHED to the formal lemma (one row pairs 'show n^2+n+41 is prime' with mset_subset_eq_insertD). This is autoformalization training data. Retained as an Isabelle HUMAN proof corpus and as a cautionary example; do NOT count it as AI output. Sibling datasets v1/v2/v3_iter3 not downloaded.
setmm-gptf	GPT-f	OpenAI, merged into the Metamath set.mm library	https://github.com/metamath/set.mm	2026-07-31	metamath	set.mm (live library)	23	23 proofs carrying the 'Proof shortened by OpenAI' credit (11 on 25-Mar-2020, 5 on 3-Jul-2020, 1 on 30-Mar-2020, plus later PRs incl. 9 previously UNPROVEN statements in PR #1710)	Metamath .mm compressed proofs (extracted as +/-4 KB context windows around each credit marker)	yes - set.mm is machine-verified in its entirety	tree_search (best-first search over Metamath proof steps)	SMALL BUT UNIQUELY CLEAN PAIRED CONTROL: when GPT-f shortened a proof the human original was preserved alongside as a '<name>OLD' theorem, so the library itself contains matched human/AI proofs of identical statements. This is the only corpus in the census with that property by construction. Extraction is context-window based; a proper study should parse set.mm and pair each X with XOLD.
metagen-metamath	MetaGen	Princeton Vision & Learning Lab	https://github.com/princeton-vl/MetaGen	2026-07-31	metamath	Metamath (set.mm / iset.mm)	0	3346 proof files (~713 KB) across 7 configurations (iset_bsl 378, iset_syn 398, set_bsl_01 457, set_bsl_02 476, set_bsl_1 560, set_syn_01 477, set_syn_1 600)	Python pickles containing {label, proof, passes}; proof is an RPN Metamath token string	claimed (search outputs that closed the goal)	tree_search (Holophrasm-derived)	No standalone extraction: proofs are RPN token sequences inside Python 2-era pickles and need a Metamath-aware decoder to become comparable to tactic text. Recorded so the Metamath branch is not silently missing. Repo is 696 MB (mostly the bundled databases).
holophrasm-metamath	Holophrasm	Daniel Whalen	https://github.com/dwhalen/holophrasm	2026-07-31	metamath	Metamath set.mm	0	390 proof files (~77 KB) in searcher/proofs_baseline/	Python pickles, same {label, proof, passes} schema	claimed	tree_search (UCT)	Same extraction caveat as metagen-metamath. The earliest neural Metamath prover with a public output dump; useful as a 2016-era baseline if you decode the RPN.
