pair,selection_strata
pair_565060cc,source:math_test
pair_57c4dba0,source:aops_forum
pair_5c1cd10b,source:cn_contest
pair_5d555352,source:math_train
pair_5f3e048c,source:aops_forum
pair_61901edb,source:olympiads
pair_6225d4ce,largest_root|source:cn_contest
pair_63189cbe,source:olympiads
pair_63244b6e,largest_root
pair_6599751f,source:cn_contest
pair_665c7b43,source:secondary_math
pair_66fa86a6,source:cn_contest
pair_677e1a17,source:secondary_math
pair_67c890a5,source:secondary_math
pair_6801c12d,largest_root
pair_6c5900d5,source:inequalities
pair_7187bdc5,source:amc_aime
pair_71ee0538,source:cn_contest
pair_7248311e,source:unknown
pair_78725416,source:math_test
pair_790cfa6a,source:unknown
pair_79e4c725,source:cn_contest
pair_7c9626f0,largest_root
pair_7f850b66,source:cn_k12
pair_7f8597bd,source:aops_forum
pair_7fc4c74b,source:cn_contest
pair_8065909d,source:amc_aime
pair_80947c71,largest_root|source:inequalities
pair_82f26bd9,source:amc_aime
pair_8316b478,largest_root
pair_85381100,source:inequalities
pair_8694b7be,source:math_test
pair_86bc99ec,source:cn_k12
pair_8898bd29,source:number_theory
pair_891d60b6,source:olympiads_ref
pair_89d0874d,largest_root
pair_8a21ac35,source:secondary_math
pair_8c4315e8,source:secondary_math
pair_8c795f65,source:olympiads_ref
pair_8cd2290d,source:math_test
pair_931e08d8,source:math_train
pair_93b8c9cb,source:aops_forum
pair_941d18e8,largest_root
pair_94b0bbc6,source:aops_forum
pair_95974c55,source:aops_forum
pair_97a1ae7b,source:aops_forum
pair_98d97530,largest_root
pair_9a43f44e,source:amc_aime
pair_9b7f569b,source:unknown
pair_9c11521b,source:amc_aime
pair_a02e1387,source:unknown
pair_a092441a,largest_root
pair_a10926bc,source:math_test
pair_a32d30b1,largest_root
pair_a6f9f388,source:math_test
pair_a9dfa195,largest_root
pair_aec04599,source:olympiads
pair_af58b0a0,source:cn_k12
pair_b042f469,source:olympiads_ref
pair_b2674d55,source:cn_contest
pair_b2bf4978,source:inequalities
pair_b526d4b4,source:math_test
pair_b8b5f6f6,source:olympiads
pair_b9118bc5,source:cn_contest
pair_bcbd6aa6,source:number_theory
pair_bf476baa,source:inequalities
pair_bf7df48f,source:secondary_math
pair_c09884b9,largest_root
pair_c4fe0db7,largest_root
pair_c8cf6c63,largest_root
pair_c9e45f55,source:number_theory
pair_cd0b97bc,source:olympiads_ref
pair_cd81e053,largest_root
pair_cf7e0dbd,source:olympiads_ref
pair_d0bf6a3e,largest_root
pair_d1001904,source:cn_k12
pair_d14f424f,source:math_test
pair_d2cedae2,largest_root
pair_d2f8657f,source:olympiads_ref
pair_d96197fd,source:inequalities
pair_db92218f,largest_root
pair_deb0d50b,largest_root
pair_e0292b80,source:number_theory
pair_e0c795d5,source:olympiads_ref
pair_e20e3985,largest_root
pair_e2657659,source:olympiads
pair_e300ccc0,source:cn_k12
pair_e37987ec,largest_root
pair_e3a73eb1,source:math_train
pair_e3dfe832,largest_root
pair_e3fb4cfd,source:olympiads
pair_e411bdaf,largest_root|source:number_theory
pair_e68a55a4,source:aops_forum
pair_e91c48ee,largest_root
pair_ebc61bc9,largest_root
pair_ee1554cd,source:unknown
pair_ee4a2990,source:inequalities
pair_f087056e,source:unknown
pair_f1f98839,source:olympiads
pair_f599feb3,source:math_train
pair_f79e7f16,source:unknown
pair_f8f4192b,source:amc_aime
pair_fed20448,largest_root
