pair,source,side,claim_index,name,type,name_prompt_index,type_prompt_index
pair_085513ab,olympiads_ref,a,5,hcot,cot θ = cos θ / sin θ,154,155
pair_085513ab,olympiads_ref,a,6,h11,sin θ + cos θ + tan θ + cot θ - 1 / cos θ - 1 / sin θ = (sin θ^2 * cos θ + sin θ * cos θ^2 + sin θ^2 + cos θ^2 - sin θ - cos θ) / (sin θ * cos θ),156,157
pair_085513ab,olympiads_ref,a,7,h13,sin θ^2 + cos θ^2 = 1,158,159
pair_08d7b69c,amc_aime,h,0,aux1,(1 : ℝ) / k ^ (2 * n + 1) = ((1 : ℝ) / k) • (1 / k ^ 2) ^ n,160,161
pair_08d7b69c,amc_aime,h,1,aux2,(1 : ℝ) / k ^ (2 * n + 2) = ((1: ℝ) / k) ^ 2 • (1 / k ^ 2) ^ n,162,163
pair_08d7b69c,amc_aime,a,0,h1,"∀ n : ℕ, (1 : ℝ) / (16 : ℕ) ^ (2 * n + 1) = (1 / 16) * (1 / 256) ^ n",164,165
pair_08d7b69c,amc_aime,a,1,h2,"∀ n : ℕ, (1 : ℝ) / (16 : ℕ) ^ (2 * n + 2) = (1 / 256) * (1 / 256) ^ n",166,167
pair_0e3ec0d0,olympiads,h,0,ha2,"a ^ 2 ≤ n * ∑ i : Fin n, sin (x i) ^ 2",168,169
pair_0e3ec0d0,olympiads,h,1,hb2,"b ^ 2 ≤ n * ∑ i : Fin n, cos (x i) ^ 2",170,171
pair_0e3ec0d0,olympiads,a,0,ha2,"a ^ 2 ≤ n * ∑ i : Fin n, sin (x i) ^ 2",172,173
pair_0e3ec0d0,olympiads,a,1,hb2,"b ^ 2 ≤ n * ∑ i : Fin n, cos (x i) ^ 2",174,175
pair_10a4b6cd,amc_aime,h,0,hm₁,a+b ≤ m,176,177
pair_10a4b6cd,amc_aime,h,1,hm₂,c+d ≤ m,178,179
pair_10a4b6cd,amc_aime,h,2,hm₃,e ≤ m,180,181
pair_10a4b6cd,amc_aime,a,0,h1,(a + b) < 671,182,183
pair_10a4b6cd,amc_aime,a,1,h2,(b + c) < 671,184,185
pair_10a4b6cd,amc_aime,a,2,h3,(c + d) < 671,186,187
pair_10a4b6cd,amc_aime,a,3,h4,(d + e) < 671,188,189
pair_10bf58b8,olympiads,h,0,hb,b = 15,190,191
pair_10bf58b8,olympiads,h,1,ha,a = 21,192,193
pair_10bf58b8,olympiads,h,2,hc,c = 30,194,195
pair_10bf58b8,olympiads,a,0,hb,b = 15,196,197
pair_10bf58b8,olympiads,a,1,ha,a = 21,198,199
pair_10bf58b8,olympiads,a,2,hc,c = 30,200,201
pair_10db0ca7,cn_k12,h,0,positiveIntersection,intersectsYAxisPositively (quadraticFunction m),202,203
pair_10db0ca7,cn_k12,h,1,yAxisIntersectionPoint,intersectsYAxisAt (quadraticFunction m) (m - 2),204,205
pair_10db0ca7,cn_k12,a,0,h1,quadraticFunction m 0 = y,206,207
pair_10db0ca7,cn_k12,a,1,eq2,m - 2 = y,208,209
pair_10db0ca7,cn_k12,a,2,eq3,quadraticFunction m 0 = y,210,211
pair_11814e28,cn_k12,h,0,h1,deriv f (π / 4) = deriv (λ x => deriv f (π / 4) * cos x + sin x) (π / 4),212,213
pair_11814e28,cn_k12,h,1,h2,deriv (fun x ↦ a * cos x + sin x) x = -a * sin x + cos x,214,215
pair_11814e28,cn_k12,h,2,h3,√2 * √2 = 2,216,217
pair_11814e28,cn_k12,a,0,h1,f (π / 4) = y * cos (π / 4) + sin (π / 4),218,219
pair_11814e28,cn_k12,a,1,eq1,deriv f (π / 4) = -y * sin (π / 4) + cos (π / 4),220,221
pair_11814e28,cn_k12,a,2,eq2,f = fun x => y * cos x + sin x,222,223
pair_11814e28,cn_k12,a,3,h2,cos (π / 4) = Real.sqrt 2 / 2,224,225
pair_11814e28,cn_k12,a,4,h3,sin (π / 4) = Real.sqrt 2 / 2,226,227
pair_11814e28,cn_k12,a,5,eq3,y = Real.sqrt 2 - 1,228,229
pair_11b127b9,cn_k12,h,0,h1,(4 : ℝ) ^ x = (2 ^ x) ^ 2,230,231
pair_11b127b9,cn_k12,h,1,h2,((2 : ℝ) ^ x - 1) * (2 ^ x + 2) = 0,232,233
pair_11b127b9,cn_k12,h,2,h3,(2 : ℝ) ^ x + 2 ≠ 0,234,235
pair_11b127b9,cn_k12,a,0,h1,(4 : ℝ) ^ x = ((2 : ℝ) ^ x) ^ 2,236,237
pair_11b127b9,cn_k12,a,1,h2,((2 : ℝ) ^ x) ^ 2 + (2 : ℝ)^x - 2 = 0,238,239
pair_11b127b9,cn_k12,a,2,h3,((2 : ℝ) ^ x + 2) * ((2 : ℝ) ^ x - 1) = 0,240,241
pair_11b127b9,cn_k12,a,3,h6,(2 : ℝ) ^ x > (0 : ℝ),242,243
pair_11b127b9,cn_k12,a,4,h7,(2 : ℝ) ^ x = 1,244,245
pair_11b127b9,cn_k12,a,5,h8,x = 0,246,247
pair_11b127b9,cn_k12,a,6,h9,Real.logb (2 : ℝ) ((2 : ℝ) ^ x) = x,248,249
pair_11b127b9,cn_k12,a,7,h10,Real.logb (2 : ℝ) (1 : ℝ) = (0 : ℝ),250,251
pair_12d75d25,number_theory,h,0,hnt,n.totient = 8,252,253
pair_12d75d25,number_theory,h,1,hacon,a.Coprime n,254,255
pair_12d75d25,number_theory,a,0,hnt,n.totient = 8,256,257
pair_12d75d25,number_theory,a,1,hacon,a.Coprime n,258,259
pair_136afae1,olympiads,h,0,eq2,(19 : ℝ) * n = (24 : ℝ) * m + (67 : ℝ) * l,260,261
pair_136afae1,olympiads,h,1,h7,19 * n = 24 * m + 67 * l,262,263
pair_136afae1,olympiads,h,2,h_eq,(19 : ℝ) * (n : ℝ) = (24 : ℝ) * (m : ℝ) + (67 : ℝ) * (l : ℝ),264,265
pair_136afae1,olympiads,h,3,h20,(19 * n : ℝ) = (24 * m + 67 * l : ℝ),266,267
pair_136afae1,olympiads,a,0,eq1,(11 * (n : ℝ) + 54 * (m : ℝ) + 97 * (l : ℝ) = 30 * (n + m + l)),268,269
pair_136afae1,olympiads,a,1,eq2,11 * (n : ℤ) + 54 * (m : ℤ) + 97 * (l : ℤ) = 30 * (n + m + l),270,271
pair_136afae1,olympiads,a,2,eq3,19 * (n : ℤ) = 24 * (m : ℤ) + 67 * (l : ℤ),272,273
pair_136afae1,olympiads,a,3,eq4,19 * (n : ℕ) = 24 * (m : ℕ) + 67 * (l : ℕ),274,275
pair_136afae1,olympiads,a,4,h4,(n + m + l) % 43 = 0,276,277
pair_13d805d4,amc_aime,h,0,htshirt_cost',tshirt_cost = 9,278,279
pair_13d805d4,amc_aime,h,1,hmember_cost',member_cost = 26,280,281
pair_13d805d4,amc_aime,h,2,hnum_members,(num_members:ℚ) = 91,282,283
pair_13d805d4,amc_aime,a,0,htshirt,tshirt_cost = 9,284,285
pair_13d805d4,amc_aime,a,1,hmember,member_cost = 26,286,287
pair_13d805d4,amc_aime,a,2,eq1,(num_members : ℚ) = 91,288,289
pair_149dda45,olympiads_ref,h,0,h₁,(a ^ 2 - b * c) / (2 * a ^ 2 + b * c) = (1 - 3 * (b * c / (2 * a^2 + b * c))) / 2,290,291
pair_149dda45,olympiads_ref,h,1,h₂,(b ^ 2 - c * a) / (2 * b ^ 2 + c * a) = (1 - 3 * (c * a / (2 * b^2 + c * a))) / 2,292,293
pair_149dda45,olympiads_ref,h,2,h₃,(c ^ 2 - a * b) / (2 * c ^ 2 + a * b) = (1 - 3 * (a * b / (2 * c^2 + a * b))) / 2,294,295
pair_149dda45,olympiads_ref,a,0,h1,0 < (2 * a^2 + b * c) * (2 * b^2 + c * a) * (2 * c^2 + a * b),296,297
pair_149dda45,olympiads_ref,a,1,h2,(a^2 - b * c) / (2 * a^2 + b * c) + (b^2 - c * a) / (2 * b^2 + c * a) + (c^2 - a * b) / (2 * c^2 + a * b) ≤ 0,298,299
pair_149dda45,olympiads_ref,a,2,h5,0 < (2 * a^2 + b * c),300,301
pair_149dda45,olympiads_ref,a,3,h6,0 < (2 * b^2 + c * a),302,303
pair_149dda45,olympiads_ref,a,4,h7,0 < (2 * c^2 + a * b),304,305
pair_149dda45,olympiads_ref,a,5,h8,(a^2 - b * c) / (2 * a^2 + b * c) + (b^2 - c * a) / (2 * b^2 + c * a) + (c^2 - a * b) / (2 * c^2 + a * b) - (0 : ℝ) ≤ 0,306,307
pair_149dda45,olympiads_ref,a,6,h9,(a^2 - b * c) / (2 * a^2 + b * c) + (b^2 - c * a) / (2 * b^2 + c * a) + (c^2 - a * b) / (2 * c^2 + a * b) - (0 : ℝ) = ( (a^2 - b * c) * (2 * b^2 + c * a) * (2 * c^2 + a * b) + (b^2 - c * a) * (2 * a^2 + b * c) * (2 * c^2 + a * b) + (c^2 - a * b) * (2 * a^2 + b * c) * (2 * b^2 + c * a) ) / ( (2 * a^2 + b * c) * (2 * b^2 + c * a) * (2 * c^2 + a * b) ),308,309
pair_14bd707b,amc_aime,h,0,h1,28*a ≡ 8*c [MOD 71],310,311
pair_14bd707b,amc_aime,h,1,h',(100 : ℤ)*a + 10*b + c = 81*b + 9*c + a,312,313
pair_14bd707b,amc_aime,h,2,h'',(99 : ℤ)*a = 71*b + 8 * c,314,315
pair_14bd707b,amc_aime,h,3,ha',a = 2,316,317
pair_14bd707b,amc_aime,h,4,hc',c = 7,318,319
pair_14bd707b,amc_aime,a,0,h1,28*a ≡ 8*c [MOD 71],320,321
pair_14bd707b,amc_aime,a,1,h',(100 : ℤ)*a + 10*b + c = 81*b + 9*c + a,322,323
pair_14bd707b,amc_aime,a,2,h'',(99 : ℤ)*a = 71*b + 8 * c,324,325
pair_14bd707b,amc_aime,a,3,h3,(71 * (b : ℤ) + 8 * (c : ℤ)) % 71 = 8 * (c : ℤ) % 71,326,327
pair_152731e7,olympiads,h,0,h0,z = 10 * x + 7,328,329
pair_152731e7,olympiads,h,1,h1,7 * 10 ^ 21 + x = 7 * (10 * x + 7),330,331
pair_152731e7,olympiads,h,2,h2,69 * x = 7 * 10 ^ 21 - 49,332,333
pair_152731e7,olympiads,h,3,h3,x = (7 * 10 ^ 21 - 49) / 69,334,335
pair_152731e7,olympiads,a,0,h1,z % 10 = 7,336,337
pair_152731e7,olympiads,a,1,h2,z = 10 * (z / 10) + 7,338,339
pair_152731e7,olympiads,a,2,h3,7 * 10 ^ 21 + z / 10 = 7 * z,340,341
pair_152731e7,olympiads,a,3,h4,69 * (z / 10) = 7 * 10 ^ 21 - 49,342,343
pair_152731e7,olympiads,a,4,eq1,z = 10 * (z / 10) + 7,344,345
pair_152731e7,olympiads,a,5,h5,z / 10 = 101449275362318840579,346,347
pair_152731e7,olympiads,a,6,h7,z = 1014492753623188405797,348,349
pair_155c7ff8,secondary_math,h,0,h3,a^2 = (m * x + n * y) ^ 2,350,351
pair_155c7ff8,secondary_math,h,1,h4,a^2 = m^2 * x^2 + n^2 * y^2 + 2 * m * n * x * y,352,353
pair_155c7ff8,secondary_math,h,2,h5,b^2 = (n * x - m * y) ^ 2,354,355
pair_155c7ff8,secondary_math,h,3,h6,b^2 = n^2 * x^2 + m^2 * y^2 - 2 * m * n * x * y,356,357
pair_155c7ff8,secondary_math,h,4,h7,a^2 + b^2 = (m^2 + n^2) * x^2 + (m^2 + n^2) * y^2,358,359
pair_155c7ff8,secondary_math,h,5,h8,a^2 + b^2 = x^2 + y^2,360,361
pair_155c7ff8,secondary_math,a,0,eq1,(m * x + n * y) ^ 2 + (n * x - m * y) ^ 2 = a^2 + b^2,362,363
pair_155c7ff8,secondary_math,a,1,eq2,(m * x + n * y) ^ 2 + (n * x - m * y) ^ 2 = (m^2 + n^2) * (x^2 + y^2),364,365
pair_172df75c,olympiads,h,0,h1,0 < 4 * a^2 + b^2,366,367
pair_172df75c,olympiads,h,1,h2,((2 * a + 2 * a * b - b * (b + 1)) ^ 2 + (b - 4 * a^2 + 2 * a * (b + 1)) ^ 2) - (4 * a^2 + b^2) ≥ 0,368,369
pair_172df75c,olympiads,h,2,h3,((2 * a + 2 * a * b - b * (b + 1)) ^ 2 + (b - 4 * a^2 + 2 * a * (b + 1)) ^ 2) ≥ (4 * a^2 + b^2),370,371
pair_172df75c,olympiads,h,3,h4,((2 * a + 2 * a * b - b * (b + 1)) ^ 2 + (b - 4 * a^2 + 2 * a * (b + 1)) ^ 2) / (4 * a^2 + b^2) ≥ 1,372,373
pair_172df75c,olympiads,h,4,h5,((2 * a + 2 * a * b - b * (b + 1)) ^ 2 + (b - 4 * a^2 + 2 * a * (b + 1)) ^ 2) / (4 * a^2 + b^2) ≥ (4 * a^2 + b^2) / (4 * a^2 + b^2),374,375
pair_172df75c,olympiads,h,5,h6,(4 * a^2 + b^2) / (4 * a^2 + b^2) = 1,376,377
pair_172df75c,olympiads,a,0,h,((2*a+2*a*b-b*(b+1))^2 + (b-4*a^2+2*a*(b+1))^2) / (4*a^2+b^2) ≥ 1,378,379
pair_172df75c,olympiads,a,1,h1,4*a^2+b^2 > 0,380,381
pair_172df75c,olympiads,a,2,h2,(2*a+2*a*b-b*(b+1))^2 + (b-4*a^2+2*a*(b+1))^2 ≥ 4*a^2+b^2,382,383
pair_172df75c,olympiads,a,3,h3,((2*a+2*a*b-b*(b+1))^2 + (b-4*a^2+2*a*(b+1))^2 : ℝ) / (4*a^2+b^2) ≥ 1,384,385
pair_17b9aa80,amc_aime,h,0,hdpq,d = (3 * p + q) - (3 * p - q),386,387
pair_17b9aa80,amc_aime,h,1,hdq,d = 2 * q,388,389
pair_17b9aa80,amc_aime,h,2,h₄,p = 9 - 2 * q,390,391
pair_17b9aa80,amc_aime,h,3,hq,q = 2,392,393
pair_17b9aa80,amc_aime,h,4,hp,p = 5,394,395
pair_17b9aa80,amc_aime,a,0,hp,p = 9 - d,396,397
pair_17b9aa80,amc_aime,a,1,hq,q = d / 2,398,399
pair_17b9aa80,amc_aime,a,2,hd,d = 4,400,401
pair_17b9aa80,amc_aime,a,3,hp',p = 5,402,403
pair_185bf34b,math_train,h,0,aux,"{x : ℕ | x ∣ 96 ∧ 12 ∣ x} = {12, 24, 48, 96}",404,405
pair_185bf34b,math_train,h,1,h1,t * m = 8,406,407
pair_185bf34b,math_train,h,2,h2,t ∣ 8,408,409
pair_185bf34b,math_train,a,0,h1,"{x : ℕ | x ∣ 96 ∧ 12 ∣ x} = {12, 24, 48, 96}",410,411
pair_185bf34b,math_train,a,1,h3,x ≤ 96,412,413
pair_195f308a,cn_contest,h,0,h1,sqrt 28 = 2 * sqrt 7,414,415
pair_195f308a,cn_contest,h,1,h2,sqrt 20 = 2 * sqrt 5,416,417
pair_195f308a,cn_contest,h,2,h3,sqrt 45 = 3 * sqrt 5,418,419
pair_195f308a,cn_contest,h,3,h4,sqrt 63 = 3 * sqrt 7,420,421
pair_195f308a,cn_contest,a,0,h1,sqrt 28 = 2 * sqrt 7,422,423
pair_195f308a,cn_contest,a,1,h2,sqrt 20 = 2 * sqrt 5,424,425
pair_195f308a,cn_contest,a,2,h3,sqrt 45 = 3 * sqrt 5,426,427
pair_195f308a,cn_contest,a,3,h4,sqrt 63 = 3 * sqrt 7,428,429
pair_1b0aac1f,secondary_math,h,0,h,Real.cos (Real.pi * (2 / 3)) = -1 / 2,430,431
pair_1b0aac1f,secondary_math,h,1,h1,Real.cos (Real.pi * (2 / 3)) = -1 / 2,432,433
pair_1b0aac1f,secondary_math,h,2,h2,Real.cos (Real.pi * (2 / 3)) = - Real.cos (Real.pi / 3),434,435
pair_1b0aac1f,secondary_math,h,3,ht1,-1 ≤ Real.cos t,436,437
pair_1b0aac1f,secondary_math,h,4,ht2,Real.cos t ≤ 1,438,439
pair_1b0aac1f,secondary_math,a,0,h,Real.cos (Real.arccos (-1 / 2)) = -1 / 2,440,441
pair_1b0aac1f,secondary_math,a,1,h1,-1 ≤ Real.cos t ∧ Real.cos t ≤ 1,442,443
pair_1c6a86e7,cn_k12,h,0,r1,z.re = a ^ 2 + a - 2,444,445
pair_1c6a86e7,cn_k12,h,1,r2,z.im = a ^ 2 - 3 * a + 2,446,447
pair_1c6a86e7,cn_k12,a,0,h1,z.re = a ^ 2 + a - 2,448,449
pair_1c6a86e7,cn_k12,a,1,h2,z.im = a ^ 2 - 3 * a + 2,450,451
pair_1c6a86e7,cn_k12,a,2,h_eq1,a ^ 2 + a - 2 = 0,452,453
pair_1c6a86e7,cn_k12,a,3,h_eq2,(a - 1) * (a + 2) = 0,454,455
pair_1c6a86e7,cn_k12,a,4,h_a1',a = 1,456,457
pair_1d99af92,cn_k12,h,0,ha₀,0 ≤ √(1 - a),458,459
pair_1d99af92,cn_k12,h,1,hx₀,|x| = x ∧ 0 ≤ x ∨ |x| = -x ∧ x < 0,460,461
pair_1d99af92,cn_k12,h,2,ha₁,0 ≤ 1 - a,462,463
pair_1d99af92,cn_k12,h,3,h1le1a,1 ≤ 1 - a,464,465
pair_1d99af92,cn_k12,h,4,hxle0,x ≤ 0,466,467
pair_1d99af92,cn_k12,h,5,h₀,x * -x + -x - x - a = 0,468,469
pair_1d99af92,cn_k12,a,0,h2,-x ^ 2 - 2 * x - a = 0,470,471
pair_1d99af92,cn_k12,a,1,h3,x ^ 2 + 2 * x + a = 0,472,473
pair_1d99af92,cn_k12,a,2,h4,x < 0,474,475
pair_1d99af92,cn_k12,a,3,h5,(x + 1) ^ 2 = 1 - a,476,477
pair_1d99af92,cn_k12,a,4,h6,x + 1 = -Real.sqrt (1 - a),478,479
pair_1d99af92,cn_k12,a,5,h1,x < 0,480,481
pair_1db3cf23,math_test,h,0,hx1,x ≥ -5,482,483
pair_1db3cf23,math_test,h,1,hx2,x ≤ 5,484,485
pair_1db3cf23,math_test,h,2,H,IsSquare (y^2),486,487
pair_1db3cf23,math_test,a,0,h1,"{(x, y) : ℤ × ℤ | x^2 + y^2 = 25} = {(-3, -4), (-3, 4), (-4, -3), (-4, 3), (3, -4), (3, 4), (4, -3), (4, 3), (-5, 0), (5, 0), (0, -5), (0, 5)}",488,489
pair_1db3cf23,math_test,a,1,h_eq,x^2 + y^2 = 25,490,491
pair_1db3cf23,math_test,a,2,h3,x ≤ 5,492,493
pair_1db3cf23,math_test,a,3,h4,x ≥ -5,494,495
pair_1db3cf23,math_test,a,4,h5,y ≤ 5,496,497
pair_1db3cf23,math_test,a,5,h6,y ≥ -5,498,499
pair_1db80b11,number_theory,h,0,hF'',"∀ n ≥ 2, F' n = F' (n - 1) + F' (n - 2)",500,501
pair_1db80b11,number_theory,h,1,hL'',"∀ n ≥ 2, L' n = L' (n - 1) + L' (n - 2)",502,503
pair_1db80b11,number_theory,a,0,hF'',"∀ n ≥ 2, F' n = F' (n - 1) + F' (n - 2)",504,505
pair_1db80b11,number_theory,a,1,hL'',"∀ n ≥ 2, L' n = L' (n - 1) + L' (n - 2)",506,507
pair_1ed8b991,amc_aime,h,0,aux,(100:ℝ)^(n:ℝ) = (10:ℝ)^((n:ℝ) * 2),508,509
pair_1ed8b991,amc_aime,h,1,aux',a / (10:ℝ)^(2*n+1) = (a / (10:ℝ)) • (1 / (100:ℝ))^n,510,511
pair_1ed8b991,amc_aime,h,2,aux'',b / (10:ℝ)^(2*n+2) = (b / (100:ℝ)) • (1 / (100:ℝ))^n,512,513
pair_1ed8b991,amc_aime,h,3,h',1 + a / (10:ℝ) * (100 / 99) + (b:ℝ) / 100 * (100 / 99) = (99 + 10 * a + b) / (99:ℝ),514,515
pair_1ed8b991,amc_aime,h,4,h'',1 + a / (10:ℝ) + (b:ℝ) / 100 = (100 + 10 * a + b) / (100:ℝ),516,517
pair_1ed8b991,amc_aime,a,0,aux,(100:ℝ)^(n:ℝ) = (10:ℝ)^((n:ℝ) * 2),518,519
pair_1ed8b991,amc_aime,a,1,aux',a / (10:ℝ)^(2*n+1) = (a / (10:ℝ)) • (1 / (100:ℝ))^n,520,521
pair_1ed8b991,amc_aime,a,2,aux'',b / (10:ℝ)^(2*n+2) = (b / (100:ℝ)) • (1 / (100:ℝ))^n,522,523
pair_1ed8b991,amc_aime,a,3,h',1 + a / (10:ℝ) * (100 / 99) + (b:ℝ) / 100 * (100 / 99) = (99 + 10 * a + b) / (99:ℝ),524,525
pair_1ed8b991,amc_aime,a,4,h'',66 * ((99 + 10 * a + b) / (99 : ℝ)) - (66 * (1 + (a : ℝ)/10 + (b : ℝ)/100) - 0.5) = 0,526,527
pair_1ed8b991,amc_aime,a,5,eq1,(99 + 10 * a + b : ℝ) = 174,528,529
pair_1ed8b991,amc_aime,a,6,h3,(10 * a + b : ℝ) = 75,530,531
pair_1ed8b991,amc_aime,a,7,h4,10 * a + b = 75,532,533
pair_20f6251a,olympiads,h,0,eq1,deriv f t = 2 * exp t * cos t,534,535
pair_20f6251a,olympiads,h,1,eq2,deriv g t = -2 * exp t * sin t,536,537
pair_20f6251a,olympiads,a,0,f_eq,deriv f = fun t => 2 * exp t * cos t,538,539
pair_20f6251a,olympiads,a,1,g_eq,deriv g = fun t => -2 * exp t * sin t,540,541
pair_20f6251a,olympiads,a,2,h1,"∀ t, Real.sqrt ((deriv f t)^2 + (deriv g t)^2) = 2 * exp t",542,543
pair_20f6251a,olympiads,a,3,h2,(2 * exp t * cos t)^2 + (-2 * exp t * sin t)^2 = 4 * (exp t)^2,544,545
