pair,source
pair_8e690f90,math_train
pair_350d6834,amc_aime
pair_a0f27c36,aops_forum
pair_13391edf,math_test
pair_1c04a9ae,math_train
pair_3dcb5edd,olympiads
pair_8f0a1ac9,amc_aime
pair_7ef3ed9d,olympiads
pair_2d67a32e,math_train
pair_b153ac58,math_train
pair_500f70cd,aops_forum
pair_a11b5771,math_train
pair_359f2631,secondary_math
pair_fcdf1e35,olympiads
pair_e122d56e,math_train
pair_5647c1b9,math_test
pair_5039bbb3,math_train
pair_26e84fcd,math_train
pair_b3ab6873,math_train
pair_d827cd0a,math_test
pair_fb78daff,math_train
pair_b9efa34e,amc_aime
pair_1ecad089,olympiads
pair_b00ee37b,math_train
pair_13d805d4,amc_aime
pair_ead8738b,math_train
pair_7b35714e,math_test
pair_e0ba091c,math_train
pair_442ba594,math_train
pair_2d9a7d36,amc_aime
pair_fe547a01,math_test
pair_a10a822f,olympiads
pair_bd986a97,math_test
pair_221c417d,olympiads_ref
pair_f0dacaa3,number_theory
pair_5816c1d4,amc_aime
pair_95455a42,number_theory
pair_91778238,math_train
pair_5144efb1,math_train
pair_ae96c299,olympiads
pair_917764ed,math_train
pair_d9029820,cn_contest
pair_93cd1c59,math_test
pair_259d8367,amc_aime
pair_c3dbd5d3,math_train
pair_5041a21e,math_train
pair_701fe448,math_train
pair_1b907c78,cn_k12
pair_7f4054b7,aops_forum
pair_d29cd665,math_train
pair_58716395,math_test
pair_3e7604ad,aops_forum
pair_ea608f16,math_train
pair_587b1256,olympiads
pair_22f16324,aops_forum
pair_ec40eca0,amc_aime
pair_440f2c7c,math_train
pair_df42953e,math_test
pair_072b0804,math_train
pair_9892774a,math_train
pair_9a78d5f2,cn_k12
pair_64535cb1,math_train
pair_549c747c,olympiads_ref
pair_eb24c79a,cn_k12
pair_ad39313c,aops_forum
pair_d05b855a,olympiads
pair_2d4cb206,cn_k12
pair_2ba40a15,math_train
pair_3bf9c531,number_theory
pair_c2c9bb14,math_train
pair_d0387aa0,math_train
pair_480d920a,number_theory
pair_6818451c,math_train
pair_3ff0af1e,math_train
pair_5d156a5d,math_test
pair_cc358b90,math_test
pair_c4a7e8c3,math_train
pair_058b547e,math_train
pair_6ab3a53f,math_test
pair_cb9a6fb7,math_train
pair_f10413c8,olympiads_ref
pair_aa761cbd,math_train
pair_08acb0c8,olympiads
pair_cb4bfe65,math_train
pair_b52b33f4,aops_forum
pair_9492d22f,amc_aime
pair_e68a55a4,aops_forum
pair_737e2b1f,number_theory
pair_5b377b55,amc_aime
pair_2ca21479,olympiads
pair_8898bd29,number_theory
pair_4ff58f19,math_train
pair_a79ff5a0,number_theory
pair_bf6cf70f,cn_k12
pair_eb63c4a0,math_test
pair_f250a4e7,math_test
pair_e3a73eb1,math_train
pair_57b2e6ef,math_train
pair_3121ac65,math_train
pair_bfc14960,amc_aime
pair_a01b5ee6,olympiads
pair_cbc8b348,cn_k12
pair_5cd26bd6,math_train
pair_3fcca4a6,math_train
pair_535c413d,math_test
pair_a592b16e,math_train
pair_9b1dc62c,math_train
pair_740dcefb,math_test
pair_d0c4d578,olympiads
pair_6cdaca2f,math_train
pair_c267ff2b,math_train
pair_16646841,number_theory
pair_5e323eec,olympiads
pair_34b2dbc3,math_train
pair_4ca36410,math_train
pair_4829ed6c,math_train
pair_b2e9f3a3,math_train
pair_74e05d44,olympiads_ref
pair_648bedf1,math_train
pair_b2c6e65e,cn_contest
pair_5a7fc501,amc_aime
pair_807fa532,olympiads
pair_a10e43bf,amc_aime
pair_8fbe9093,number_theory
pair_5e987250,cn_k12
pair_95cc16d3,math_train
pair_a81a9e35,amc_aime
pair_c4261dae,cn_k12
pair_fd82fe58,math_train
pair_6bf8e110,math_train
pair_4260e68a,math_train
pair_02867743,math_train
pair_6abd8a3e,math_train
pair_7031ed4a,olympiads_ref
pair_f960eb42,math_test
pair_464663e7,math_test
pair_80de1ec1,cn_k12
pair_7f32ef1d,math_train
pair_7415487b,cn_k12
pair_de2c4a46,olympiads
pair_4bcf9945,amc_aime
pair_149fe16f,olympiads_ref
pair_2b98a46f,math_train
pair_c9f61fd9,math_train
pair_5fafd2ee,amc_aime
pair_5c432470,math_train
pair_9213c2c9,math_test
pair_bf349feb,math_train
pair_86bc99ec,cn_k12
pair_0050c84f,olympiads
pair_a0b965e9,olympiads
pair_2c4bd84d,math_test
pair_2317e8ca,olympiads
pair_08bd7807,math_train
pair_e2a542d7,cn_contest
pair_19f3b929,math_test
pair_479d7e25,math_train
pair_2f0c61c8,math_test
pair_d23932f1,math_train
pair_4350b7b7,math_train
pair_7f25083e,number_theory
pair_e3adca00,math_train
pair_d541a4c7,math_test
pair_71afce1b,math_train
pair_34ed3643,secondary_math
pair_db22416f,math_train
pair_1f659025,math_train
pair_c52ef4bf,math_train
pair_e335c305,math_train
pair_3eaf1908,math_train
pair_fc773fb5,math_train
pair_8e35a5ef,aops_forum
pair_ff9f44c9,math_test
pair_d4452d01,math_train
pair_eb9105cc,amc_aime
pair_677749e1,math_train
pair_cf7e0dbd,olympiads_ref
pair_29b6459c,math_test
pair_7ecc9032,olympiads
pair_c7447f28,amc_aime
pair_5bd30240,math_test
pair_c81e61c2,olympiads
pair_f1925754,math_test
pair_48881c66,amc_aime
pair_6c0af0ff,math_train
pair_f1cced2f,math_train
pair_7b69108e,olympiads
pair_5be38b14,math_train
pair_b7177d6f,math_train
pair_08a52a63,amc_aime
pair_24e159a3,math_train
pair_3d18ef8b,olympiads
pair_851a5ece,math_train
pair_fec805f0,math_test
pair_e457aa56,math_train
pair_4e8f58e6,math_train
pair_08a92869,math_train
pair_1a0e69c5,olympiads
pair_2bf91739,olympiads
pair_29059eae,math_train
pair_f3902d8c,math_train
pair_11bdfb8e,math_test
pair_c92e6cc4,math_train
pair_e30b7cd5,math_train
pair_2ab4acb7,math_test
pair_42247153,math_train
pair_56181f7d,aops_forum
pair_76b2f707,math_test
pair_b1582a36,olympiads
pair_05689e6a,math_test
pair_1a4c80fd,cn_k12
pair_fedf7c0f,math_test
pair_445ab2ce,math_train
pair_0f40f95a,olympiads
pair_cfa27f90,math_train
pair_93cb0374,math_test
pair_5dfbd84c,olympiads
pair_73bd6122,cn_k12
pair_4974f97a,cn_k12
pair_f81be4de,math_train
pair_affaf94d,math_test
pair_07e2be72,amc_aime
pair_53d17330,math_train
pair_39f693fd,olympiads_ref
pair_b5ba72ad,math_train
pair_1352702d,number_theory
pair_68f8a65f,math_train
pair_56151c6e,math_train
pair_9bf02620,math_train
pair_33f8d99b,cn_contest
pair_fc03e964,olympiads
pair_aaefa534,amc_aime
pair_d354e6bc,math_train
pair_155c7ff8,secondary_math
pair_17a1b79b,cn_contest
pair_8e65843e,math_train
pair_dd609a30,math_train
pair_af58b0a0,cn_k12
pair_02cae9ff,math_train
pair_4aea7a0a,math_train
pair_769dcfbe,amc_aime
pair_f95bce22,math_train
pair_54b9a1f3,math_test
pair_8cf171b5,math_train
pair_ba89de36,math_train
pair_8b90965a,cn_contest
pair_bf56e635,math_test
pair_931dd76e,math_train
pair_63f93fa4,math_test
pair_7d1b329e,math_train
pair_d0030d73,math_test
pair_f39a4f3d,olympiads
pair_8932c016,math_train
pair_c33a7eeb,math_train
pair_915d7da0,math_train
pair_e2d5070d,math_train
pair_61597198,math_test
pair_1a9098cd,cn_contest
pair_67ce723c,olympiads
pair_c9e45f55,number_theory
pair_f73d83e9,math_train
pair_108b1870,math_train
pair_7631bb8f,cn_k12
pair_33135e91,olympiads
pair_67d10a4a,aops_forum
pair_621d5eb0,olympiads
pair_98b1023d,math_train
pair_81285f9e,math_train
pair_ce4a4bcc,math_test
pair_3e9d1f1e,math_train
pair_7f1ef490,number_theory
pair_ef15dc4b,math_train
pair_6978d00d,olympiads
pair_e6da8a23,math_train
pair_b2fab2a5,math_test
pair_7c8c1f43,olympiads
pair_190fcb9e,math_train
pair_c6b3563e,math_test
pair_19072a0a,olympiads
pair_afe2f3a6,math_test
pair_3d2c868d,olympiads_ref
pair_3ebcad82,cn_k12
pair_6876e834,cn_k12
pair_7ab18f25,cn_k12
pair_82b4d725,olympiads
pair_5f18ea07,math_test
pair_42f55e69,aops_forum
pair_fb2233d4,math_train
pair_65a273ef,math_train
pair_9c338119,math_train
pair_00f46d63,cn_k12
pair_f787ce33,math_train
pair_7bd2a10c,math_train
pair_f39ff433,secondary_math
pair_3e6b57e9,amc_aime
pair_1db80b11,number_theory
pair_902e152c,math_test
pair_31efc93a,cn_k12
pair_4d68f3d1,math_train
pair_59111b24,math_test
pair_01574a48,amc_aime
pair_ec2f2451,math_train
pair_ac854115,math_test
pair_869a2011,cn_k12
pair_63a3f3f5,olympiads_ref
pair_a41e71a8,cn_k12
pair_b4b40e99,aops_forum
pair_a3f82c75,aops_forum
pair_2fe3edb5,olympiads_ref
pair_d918b30a,math_train
pair_05d55f6d,cn_k12
pair_b4c14075,cn_k12
pair_6bdc5ec1,math_train
pair_9084ad45,amc_aime
pair_a4b6f46f,math_train
pair_bf7f9742,math_train
pair_0bf16405,amc_aime
pair_18fcf9b6,olympiads
pair_26dcecc4,math_test
pair_b7f5af11,math_train
pair_81a23aeb,math_train
pair_26741d23,math_test
pair_5351e245,math_test
pair_84aa00eb,amc_aime
pair_2c57278c,math_train
pair_1e7043e2,math_train
pair_f17d5666,aops_forum
pair_427b59e5,math_train
pair_14da2adf,number_theory
pair_b3f6c860,amc_aime
pair_a60ac2eb,number_theory
pair_85852c44,math_test
pair_d2bf503e,math_train
pair_571a4f53,math_test
pair_8e82b67b,amc_aime
pair_16f848fe,math_test
pair_f5543c0c,math_train
pair_b94f69f4,math_train
pair_c41a8ca9,olympiads_ref
pair_6301c32d,number_theory
pair_af2e99a3,math_train
pair_94e75697,math_train
pair_afd1b0b9,math_test
pair_c41e393b,math_test
pair_4a1db50a,secondary_math
pair_e4a0a866,math_test
pair_651ba6a0,olympiads
pair_d7744818,amc_aime
pair_d1f2116b,number_theory
pair_24c03431,math_train
pair_609a472f,olympiads_ref
pair_51cfa91e,amc_aime
pair_888a1c84,math_train
pair_042fa966,math_train
pair_74caf35f,math_test
pair_759606e4,math_train
pair_223ec94b,olympiads
pair_ba2e53aa,math_train
pair_e7428422,math_test
pair_2fc6a122,amc_aime
pair_4a23a011,number_theory
pair_a72bc4ae,olympiads
pair_74d1dc10,math_train
pair_fae7d877,amc_aime
pair_55d03933,number_theory
pair_70ad8bd3,amc_aime
pair_6e91ac89,number_theory
pair_a30cb84e,olympiads
pair_332d666d,cn_k12
pair_bb2f9e77,math_train
pair_44ba9cd0,cn_k12
pair_08614389,math_train
pair_77658e38,cn_k12
pair_0f3a18aa,math_train
pair_5c0df509,cn_k12
pair_47b1b03f,math_train
pair_cae95323,cn_k12
pair_06c49753,math_test
pair_1f31e1b9,math_train
pair_080533ba,number_theory
pair_328bfced,math_train
pair_8d3365dc,math_test
pair_6908990e,number_theory
pair_957a4df9,math_train
pair_da1b22a7,math_test
pair_c722018c,olympiads_ref
pair_d0dfff17,math_train
pair_79f98328,olympiads_ref
pair_6a344db4,math_train
pair_12b77ca2,math_train
pair_5f70b34a,olympiads_ref
pair_b1e067c3,olympiads
pair_37d880cd,number_theory
pair_22ff4e26,number_theory
pair_ce942415,cn_k12
pair_e9663c68,aops_forum
pair_4c110c3c,math_train
pair_0b123512,math_train
pair_3599ccac,math_test
pair_beeb44b5,math_train
pair_127cb9ca,olympiads_ref
pair_0e3ec0d0,olympiads
pair_28166c34,amc_aime
pair_42e6b04a,olympiads_ref
pair_4625d43e,amc_aime
pair_db881e0a,number_theory
pair_d71a4f84,math_train
pair_3a8c6217,math_train
pair_ff98d3f9,math_train
pair_9749d118,math_train
pair_adf94e59,math_train
pair_923705f8,math_train
pair_49fcb0c0,math_train
pair_c164b95b,math_train
pair_81db3cca,cn_k12
pair_5e9baaee,amc_aime
pair_12681406,cn_k12
pair_6a121104,math_train
pair_b866a452,math_train
pair_e1f76310,number_theory
pair_724de330,math_train
pair_7cf415f9,math_train
pair_3b77b23f,number_theory
pair_122f4df2,math_test
pair_ab17ecf8,math_test
pair_533bb53b,amc_aime
pair_b5ae744f,number_theory
pair_8694b7be,math_test
pair_3c02fb15,math_train
pair_c38d0acb,olympiads
pair_25eab619,math_test
pair_45f0139d,cn_k12
pair_8bc2c620,math_test
pair_9effdc53,cn_k12
pair_b9062d69,olympiads_ref
pair_7527e184,math_test
pair_317c4ad5,cn_k12
pair_4b2c224c,math_train
pair_62e06b26,cn_k12
pair_2650134c,number_theory
pair_65586fee,amc_aime
pair_feb0f4e2,math_train
pair_c32a1626,math_train
pair_0152caff,math_train
pair_7007ed35,math_train
pair_8f6e0946,math_train
pair_51aa7126,olympiads_ref
pair_e9e4e2ab,math_train
pair_6189711d,math_test
pair_3e341530,math_train
pair_36d7d304,math_train
pair_990bff2e,amc_aime
pair_34ab11af,cn_k12
pair_fc3dfe31,cn_contest
pair_b4ab03a7,aops_forum
pair_e7dcfa1d,math_train
pair_16bca762,olympiads_ref
pair_a8d017ee,math_test
pair_9d85b82b,math_train
pair_95b14d4b,math_train
pair_84100d65,amc_aime
pair_fdcb70c9,olympiads
pair_debcd118,math_test
pair_60c4161c,amc_aime
pair_537de1c9,math_train
pair_b91dfdd2,math_train
pair_79ed8df4,math_train
pair_f9baa4be,math_train
pair_4c8a54a9,cn_k12
pair_35bf1866,amc_aime
pair_e463ab05,cn_contest
pair_4aa667b9,math_train
pair_83141d85,math_train
pair_b4b897fd,amc_aime
pair_0f5fdc1f,math_train
pair_3fc75a3f,math_test
pair_5a6fca10,math_train
pair_42565c66,amc_aime
pair_c731bddd,math_train
pair_cc759748,number_theory
pair_916a65a8,olympiads_ref
pair_4f1f31b6,math_test
pair_087d3592,number_theory
pair_71bcd48e,inequalities
pair_185bf34b,math_train
pair_5b31ad23,math_train
pair_2ed706c5,math_train
pair_3dcaaf3f,math_train
pair_6e98ad25,aops_forum
pair_94d363ee,aops_forum
pair_4de8eed7,cn_contest
pair_35df5aa4,math_train
pair_14f9e83d,math_train
pair_648874aa,math_train
pair_350bc171,cn_k12
pair_4c573162,olympiads
pair_f0bd18f6,amc_aime
pair_ab4884d0,math_train
pair_2e1ddb48,math_train
pair_e6984e0e,amc_aime
pair_0f3deadd,math_train
pair_ae539e31,math_train
pair_8e2ef668,olympiads
pair_43942d06,olympiads_ref
pair_37b794c8,math_test
pair_05bb3001,number_theory
pair_97de4bc4,olympiads_ref
pair_690944da,math_test
pair_68f68549,amc_aime
pair_6ea53107,amc_aime
pair_2bce1747,cn_k12
pair_4b901e4e,number_theory
pair_c5fb8da2,math_train
pair_1e7eedf0,olympiads_ref
pair_26684fb4,olympiads_ref
pair_065af37a,number_theory
pair_fea88371,olympiads_ref
pair_3614f10c,olympiads_ref
pair_5b255c96,math_train
pair_6fb54594,math_test
pair_7533f3af,olympiads
pair_b6985933,olympiads
pair_58860281,math_train
pair_e16cca70,math_train
pair_e300f5db,math_train
pair_7c11a2d3,amc_aime
pair_b31bcce1,amc_aime
pair_0deb533d,math_train
pair_bce59eb5,olympiads_ref
pair_0b7ad5b2,math_train
pair_9f1210d3,olympiads_ref
pair_2113375c,math_train
pair_1624ec0b,math_train
pair_29026683,math_train
pair_8aab7f32,math_train
pair_f12215cf,math_train
pair_609a1b34,math_test
pair_d3fcaf0c,amc_aime
pair_b40cb2db,math_test
pair_171e8749,amc_aime
pair_b2da63f2,math_train
pair_7e17d55e,math_train
pair_70e22c59,amc_aime
pair_e4f7205e,olympiads
pair_1fdf0158,aops_forum
pair_b8342aa7,cn_k12
pair_eadfbd18,olympiads_ref
pair_4a08986a,amc_aime
pair_7c1274fc,cn_k12
pair_fd0d8c78,cn_k12
pair_4c0ce8f0,math_train
pair_ae44f216,math_test
pair_d5ffb2e2,cn_k12
pair_65ad32a7,math_train
pair_56e0704e,math_train
pair_61ac80bb,math_test
pair_a159fa35,olympiads
pair_f48666ca,olympiads_ref
pair_62de66cc,olympiads
pair_7d60a44b,amc_aime
pair_2c156188,math_test
pair_296a1974,math_train
pair_02d50781,math_test
pair_0d6d6ffd,math_train
pair_fa331d22,math_test
pair_a51fa557,olympiads_ref
pair_6effd37a,math_train
pair_2efef0d7,math_train
pair_18eb2038,math_train
pair_842aefbb,number_theory
pair_9555f590,amc_aime
pair_cc9b0c4f,olympiads
pair_74b2ba17,cn_k12
pair_f1dc3349,aops_forum
pair_57166f31,math_train
pair_14a69bb0,olympiads_ref
pair_ce71e648,math_train
pair_ea17ff15,math_train
pair_696bc1d0,cn_k12
pair_0eab7de5,math_test
pair_f5d4e5bf,cn_k12
pair_e8464b73,math_train
pair_a640f0ba,math_train
pair_cd6ce237,math_train
pair_f760c616,math_train
pair_f61e24aa,math_train
pair_56910d98,olympiads_ref
pair_c172369d,cn_contest
pair_b82b223b,amc_aime
pair_691ba0b1,math_train
pair_9c3c4752,math_train
pair_564fee0e,cn_k12
pair_7d0ea123,cn_k12
pair_097bfb4c,math_train
pair_d45235bd,amc_aime
pair_b189e2b6,cn_k12
pair_b67e9cf9,math_train
pair_33f1151c,math_train
pair_d3d9c433,amc_aime
pair_a45da933,math_test
pair_68883bfd,number_theory
pair_28b4be57,olympiads
pair_62ec0fe0,math_test
pair_600728af,math_train
pair_19a815ff,math_train
pair_9e4d892a,math_train
pair_16858d67,math_train
pair_11ab16fb,olympiads
pair_f0724d01,olympiads
pair_ca5aa737,math_train
pair_5bb25a82,math_train
pair_fdee7e29,math_train
pair_7f4b31cf,math_train
pair_cdce2f7a,amc_aime
pair_d83bc737,math_train
pair_d53f8525,aops_forum
pair_29060fb9,cn_k12
pair_c336ffb4,olympiads
pair_f8f4192b,amc_aime
pair_d409936d,cn_k12
pair_a94bc0c1,math_test
pair_4bf4f101,cn_k12
pair_f3e9bb0e,aops_forum
pair_74eebded,cn_k12
pair_d3ea00a1,math_test
pair_19d5b7ab,cn_k12
pair_8981f747,cn_k12
pair_5b70613a,cn_k12
pair_b4fb9d1e,math_train
pair_5a0a6e05,aops_forum
pair_f3bc700e,cn_k12
pair_7d3c827c,cn_k12
pair_c86b48d9,math_train
pair_6bcfd203,math_train
pair_8fbcb9a1,math_train
pair_f979fa54,cn_k12
pair_1ba1a63d,math_train
pair_a4d3b82f,math_train
pair_86645a34,aops_forum
pair_f79e7f16,unknown
pair_7b5f2036,math_train
pair_a43b3e5b,unknown
pair_15ef13db,olympiads_ref
pair_75f5799b,math_train
pair_5592fd72,math_train
pair_e119dd13,cn_k12
pair_657c3276,olympiads
pair_1c6a86e7,cn_k12
pair_8d2303ef,number_theory
pair_c244bdd0,math_train
pair_be65ab73,amc_aime
pair_a9e1cd78,math_train
pair_6710cc1f,math_train
pair_5a3708d7,math_train
pair_87d2dbfe,math_test
pair_f78955c7,math_train
pair_13dbafa5,math_train
pair_7d0bdc98,math_train
pair_26771bf6,olympiads_ref
pair_c51edd14,amc_aime
pair_52b5b1b8,olympiads
pair_641a9557,math_train
pair_da7686fb,math_test
pair_8fb15b39,math_test
pair_3c4fed48,math_train
pair_0eda2d63,number_theory
pair_d87771de,cn_k12
pair_2c66820b,math_test
pair_851043e2,math_train
pair_cddc6504,cn_k12
pair_0d40dbec,olympiads
pair_b03f386a,math_train
pair_22917dd6,math_train
pair_c6a91ecf,math_train
pair_4468d9ff,olympiads
pair_de483a80,cn_k12
pair_10bf58b8,olympiads
pair_843fc414,cn_k12
pair_0e0ee7fb,math_train
pair_a3fa3c73,cn_k12
pair_ae579b92,cn_k12
pair_9b9c7f6e,math_train
pair_8c2434f7,cn_k12
pair_7283cf08,amc_aime
pair_fc07e083,math_train
pair_f9daac72,math_train
pair_6f43e4d2,olympiads
pair_d78203e9,olympiads
pair_02298a7a,math_train
pair_c721248b,math_train
pair_46f6c402,olympiads
pair_b2cfeb89,math_train
pair_9a6f51a3,math_train
pair_b124c50a,math_train
pair_512e1ab2,olympiads
pair_742d9b44,math_test
pair_d12f7bbf,aops_forum
pair_ef93bac4,math_test
pair_699b30e3,amc_aime
pair_1bb48d54,math_test
pair_e1086cb8,math_test
pair_5cddf9e7,amc_aime
pair_412ad836,number_theory
pair_1ed8b991,amc_aime
pair_7b293c00,math_train
pair_9ec787a9,math_train
pair_195f308a,cn_contest
pair_edf6ae3a,cn_contest
pair_720b4124,olympiads
pair_70040d68,math_test
pair_52f9db51,math_train
pair_2a792259,olympiads_ref
pair_8af3d569,math_train
pair_faa2bc85,math_test
pair_007a0fab,math_train
pair_d4ce0f91,math_test
pair_f7165df8,number_theory
pair_5e8df97e,olympiads
pair_e83bd10d,math_test
pair_8377efb6,math_train
pair_9e97fc60,math_train
pair_fcae5001,number_theory
pair_15ae0940,math_train
pair_997462a8,math_train
pair_f45ae31a,math_train
pair_3c2e5aec,math_train
pair_6fa72a27,math_test
pair_755873cc,math_train
pair_901ed9d0,amc_aime
pair_6b47a422,math_train
pair_7944a628,amc_aime
pair_40e83a73,amc_aime
pair_6357c298,amc_aime
pair_49d5c301,math_train
pair_5e1ff86b,number_theory
pair_9bacd04a,amc_aime
pair_44a15c50,olympiads
pair_9a7569b0,math_train
pair_cd5e18f7,math_train
pair_c4c5b559,math_train
pair_50577c22,math_test
pair_e19eace3,math_test
pair_d5af1b18,amc_aime
pair_84c48ae4,math_test
pair_15ff0fd4,olympiads
pair_96472bfb,cn_k12
pair_e0e861f3,math_train
pair_f700873e,cn_k12
pair_72a4977b,math_train
pair_ee703249,olympiads_ref
pair_566ce029,olympiads
pair_d123ff17,math_train
pair_5daf2594,olympiads_ref
pair_dab6f3ec,cn_k12
pair_2459e99b,math_train
pair_0104d9f5,math_train
pair_25bf8799,math_train
pair_2eaa131f,math_train
pair_dbc0412d,math_train
pair_1b8ebcde,cn_k12
pair_333e9400,math_test
pair_06f4633b,math_test
pair_6a622317,math_train
pair_b5ae1979,amc_aime
pair_3821ed1b,math_train
pair_6b58fac4,olympiads_ref
pair_cb3b726a,math_test
pair_4229868e,math_train
pair_3b470502,math_train
pair_16db4a45,math_train
pair_6bbfa988,math_test
pair_e560492a,math_test
pair_603774fd,math_test
pair_f2aac9a8,math_test
pair_e6cb680a,math_train
pair_ff284757,math_train
pair_17b9aa80,amc_aime
pair_d2c009c2,olympiads
pair_e10b49c2,cn_k12
pair_06976f82,math_train
pair_1a0125f9,math_train
pair_2405a030,math_train
pair_acbc6e4c,math_train
pair_98d97530,math_test
pair_e233beb8,math_train
pair_59e6f943,math_test
pair_2c884a55,cn_contest
pair_1b607551,cn_k12
pair_fa9133aa,math_test
pair_7f36b968,math_train
pair_4a33972f,math_train
pair_3a6842df,cn_k12
pair_9918808f,math_test
pair_06814684,number_theory
pair_6388e3f7,amc_aime
pair_06f83365,amc_aime
pair_17767a24,math_train
pair_5d555352,math_train
pair_919a0d3c,number_theory
pair_a663aca4,math_train
pair_c021c917,number_theory
pair_09995502,math_train
pair_beb0794d,cn_k12
pair_df693e7a,olympiads
pair_409b71b8,cn_k12
pair_a214c2ee,math_train
pair_03f27419,math_train
pair_36f69643,cn_k12
pair_1e15b2bc,aops_forum
pair_9a1b6a88,cn_k12
pair_17ae3e10,math_train
pair_bfeaff7b,math_train
pair_bf419b23,math_train
pair_e39a58ea,number_theory
pair_2b3de622,cn_k12
pair_fbb422e1,cn_k12
pair_54aff7bc,math_test
pair_b84a01f6,cn_k12
pair_7c07d717,olympiads
pair_ebd7b419,math_train
pair_ed2314b2,secondary_math
pair_0ff12e5e,number_theory
pair_9b5a51b7,olympiads_ref
pair_633bfc96,amc_aime
pair_1a4ee475,math_train
pair_d31b29c5,amc_aime
pair_d74f63f3,math_train
pair_1545d016,math_train
pair_ae900f0c,olympiads_ref
pair_3b1172ec,cn_k12
pair_e0c795d5,olympiads_ref
pair_245c0cd1,number_theory
pair_07a0e438,cn_k12
pair_9e164a02,math_train
pair_80ceb5f5,cn_k12
pair_7ca2c1fb,math_train
pair_e1855659,amc_aime
pair_ae42a815,math_test
pair_6fad3607,cn_k12
pair_c375c459,math_train
pair_928303e7,math_train
pair_f5a8395e,olympiads
pair_7c134902,math_test
pair_ab9adeb3,cn_contest
pair_bb4f993a,cn_contest
pair_c9da2ff4,math_test
pair_46e4c8c3,math_train
pair_ada0c403,math_train
pair_87004c40,cn_contest
pair_fd66b918,olympiads
pair_a1c4c0a9,amc_aime
pair_55743e0b,cn_k12
pair_1eff920f,cn_k12
pair_f2d4a650,cn_k12
pair_2d664ac4,math_train
pair_e63cf3d2,cn_k12
pair_5b629083,math_test
pair_aae0bfde,cn_k12
pair_58e22ef3,math_train
pair_5ff1477a,amc_aime
pair_2b963df0,math_train
pair_13a52021,math_test
pair_889535da,math_train
pair_7e888b84,olympiads
pair_bd02dcbc,math_train
pair_8fa96881,math_test
pair_d5c1c95c,olympiads
pair_a1af48fa,cn_k12
pair_d0617a44,math_train
pair_9e334a9e,math_train
pair_ea849cad,math_train
pair_802b0c9a,math_train
pair_9015aa50,cn_k12
pair_d7c0b0b3,amc_aime
pair_30571040,amc_aime
pair_8ec7a4c8,math_train
pair_f1c34ed8,number_theory
pair_2c90f4a4,olympiads
pair_97854be6,math_train
pair_5036f250,amc_aime
pair_61612a61,number_theory
pair_429c7eec,math_train
pair_0f5088bf,math_train
pair_0145f28f,unknown
pair_5bcf020d,secondary_math
pair_b5dab1a1,amc_aime
pair_ed0d99a8,number_theory
pair_58ffbee6,olympiads
pair_0531c85a,math_train
pair_d6175c27,math_test
pair_0a0d7ef1,math_train
pair_e4b3d3b7,math_test
