pair,source,retrieval_percentile_a,retrieval_percentile_h,top1_a,top1_h,claims_a,claims_h,top1_excess_chance_a,top1_excess_chance_h,human_retrieval_percentile,ai_retrieval_percentile,human_top1,ai_top1,human_top1_excess_chance,ai_top1_excess_chance
pair_1ed8b991,amc_aime,0.5714285714285714,0.5,0.25,0.2,8,5,0.14285714285714285,0.0,0.5,0.5714285714285714,0.2,0.25,0.0,0.14285714285714285
pair_20f6251a,olympiads,0.5535714285714286,0.5,0.25,0.5,8,2,0.14285714285714285,0.0,0.5,0.5535714285714286,0.5,0.25,0.0,0.14285714285714285
pair_210eaba6,aops_forum,0.5,0.5,0.25,0.25,4,4,0.0,0.0,0.5,0.5,0.25,0.25,0.0,0.0
pair_22ff4e26,number_theory,0.5333333333333333,0.6,0.16666666666666666,0.0,6,6,0.0,-0.19999999999999998,0.6,0.5333333333333333,0.0,0.16666666666666666,-0.19999999999999998,0.0
pair_249837f1,amc_aime,0.5,0.5,0.3333333333333333,0.3333333333333333,3,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0
pair_24b3bf51,cn_k12,0.5,0.6666666666666666,0.16666666666666666,0.6666666666666666,6,3,0.0,0.49999999999999994,0.6666666666666666,0.5,0.6666666666666666,0.16666666666666666,0.49999999999999994,0.0
pair_24cf7f4e,math_train,0.5,0.5,0.16666666666666666,0.5,6,2,0.0,0.0,0.5,0.5,0.5,0.16666666666666666,0.0,0.0
pair_2590c3a7,olympiads,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,3,0.49999999999999994,0.49999999999999994,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.49999999999999994,0.49999999999999994
pair_26771bf6,olympiads_ref,0.5,1.0,0.25,1.0,4,2,0.0,1.0,1.0,0.5,1.0,0.25,1.0,0.0
pair_2748f3f1,olympiads,0.5,0.5,0.14285714285714285,0.14285714285714285,7,7,0.0,0.0,0.5,0.5,0.14285714285714285,0.14285714285714285,0.0,0.0
pair_28470d46,olympiads_ref,0.5,0.5833333333333334,0.25,0.5,4,4,0.0,0.3333333333333333,0.5833333333333334,0.5,0.5,0.25,0.3333333333333333,0.0
pair_2b09aabd,olympiads,0.5,0.5,0.25,0.5,4,2,0.0,0.0,0.5,0.5,0.5,0.25,0.0,0.0
pair_2b873165,math_test,0.5,0.5333333333333333,0.16666666666666666,0.16666666666666666,6,6,0.0,0.0,0.5333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0
pair_2bf91739,olympiads,0.5,0.5,0.5,0.25,2,4,0.0,0.0,0.5,0.5,0.25,0.5,0.0,0.0
pair_2c4bd84d,math_test,0.41666666666666674,0.4166666666666667,0.0,0.25,4,4,-0.3333333333333333,0.0,0.4166666666666667,0.41666666666666674,0.25,0.0,0.0,-0.3333333333333333
pair_32d44a7f,olympiads_ref,0.5535714285714286,0.5,0.25,0.3333333333333333,8,3,0.14285714285714285,0.0,0.5,0.5535714285714286,0.3333333333333333,0.25,0.0,0.14285714285714285
pair_33135e91,olympiads,0.5,0.5833333333333334,0.125,0.25,8,4,0.0,0.0,0.5833333333333334,0.5,0.25,0.125,0.0,0.0
pair_3395ed90,olympiads,0.5,0.5,0.16666666666666666,0.25,6,4,0.0,0.0,0.5,0.5,0.25,0.16666666666666666,0.0,0.0
pair_33f8d99b,cn_contest,0.5333333333333333,0.5666666666666667,0.16666666666666666,0.16666666666666666,6,6,0.0,0.0,0.5666666666666667,0.5333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0
pair_340b28b7,olympiads_ref,0.5,0.5,0.25,0.2,4,5,0.0,0.0,0.5,0.5,0.2,0.25,0.0,0.0
pair_359f2631,secondary_math,0.5,0.5,0.3333333333333333,0.3333333333333333,3,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0
pair_35dc14d4,olympiads,0.5,0.4761904761904762,0.16666666666666666,0.14285714285714285,6,7,0.0,0.0,0.4761904761904762,0.5,0.14285714285714285,0.16666666666666666,0.0,0.0
pair_37a1e423,math_test,0.4761904761904762,0.5,0.14285714285714285,0.25,7,4,0.0,0.0,0.5,0.4761904761904762,0.25,0.14285714285714285,0.0,0.0
pair_37d880cd,number_theory,0.5,0.5,0.3333333333333333,0.5,3,2,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.0,0.0
pair_3821ed1b,math_train,0.5,0.5,0.14285714285714285,0.3333333333333333,7,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.14285714285714285,0.0,0.0
pair_395840e8,aops_forum,0.5,0.5,0.2,0.14285714285714285,5,7,0.0,0.0,0.5,0.5,0.14285714285714285,0.2,0.0,0.0
pair_3a0c48ab,olympiads,0.55,0.5238095238095238,0.2,0.2857142857142857,5,7,0.0,0.16666666666666666,0.5238095238095238,0.55,0.2857142857142857,0.2,0.16666666666666666,0.0
pair_3a20ed0b,number_theory,0.5,0.5,0.5,0.3333333333333333,2,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.5,0.0,0.0
pair_3e341530,math_train,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_3f3158ea,inequalities,0.5,0.5,0.2,0.2,5,5,0.0,0.0,0.5,0.5,0.2,0.2,0.0,0.0
pair_40400f26,math_test,0.5,0.5,0.5,0.16666666666666666,2,6,0.0,0.0,0.5,0.5,0.16666666666666666,0.5,0.0,0.0
pair_42f55e69,aops_forum,0.5178571428571429,0.5,0.125,0.5,8,2,0.0,0.0,0.5,0.5178571428571429,0.5,0.125,0.0,0.0
pair_45f0139d,cn_k12,0.5,0.5,0.3333333333333333,0.5,3,2,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.0,0.0
pair_4625d43e,amc_aime,0.5,0.5,0.3333333333333333,0.5,3,2,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.0,0.0
pair_4675a93e,olympiads,0.5,0.5,0.2,0.2,5,5,0.0,0.0,0.5,0.5,0.2,0.2,0.0,0.0
pair_46afa51e,olympiads_ref,0.5,0.6071428571428572,0.0,0.125,6,8,-0.19999999999999998,0.0,0.6071428571428572,0.5,0.125,0.0,0.0,-0.19999999999999998
pair_496fbd44,secondary_math,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_49737f41,math_test,0.4761904761904762,0.5,0.14285714285714285,0.3333333333333333,7,3,0.0,0.0,0.5,0.4761904761904762,0.3333333333333333,0.14285714285714285,0.0,0.0
pair_4c573162,olympiads,0.5178571428571429,0.5,0.125,0.25,8,4,0.0,0.0,0.5,0.5178571428571429,0.25,0.125,0.0,0.0
pair_4c5a3ecf,olympiads,0.5238095238095238,0.55,0.14285714285714285,0.2,7,5,0.0,0.0,0.55,0.5238095238095238,0.2,0.14285714285714285,0.0,0.0
pair_4d21772c,amc_aime,0.5,0.6666666666666667,0.16666666666666666,0.5,6,4,0.0,0.3333333333333333,0.6666666666666667,0.5,0.5,0.16666666666666666,0.3333333333333333,0.0
pair_4e638d06,olympiads,0.5,0.5,0.125,0.2,8,5,0.0,0.0,0.5,0.5,0.2,0.125,0.0,0.0
pair_5011e3a7,olympiads,0.5,0.4761904761904762,0.14285714285714285,0.14285714285714285,7,7,0.0,0.0,0.4761904761904762,0.5,0.14285714285714285,0.14285714285714285,0.0,0.0
pair_50339cb5,olympiads_ref,0.4666666666666666,0.5,0.16666666666666666,0.3333333333333333,6,3,0.0,0.0,0.5,0.4666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0
pair_50fab0e3,number_theory,0.5833333333333334,0.5833333333333334,0.25,0.25,4,4,0.0,0.0,0.5833333333333334,0.5833333333333334,0.25,0.25,0.0,0.0
pair_51aa7126,olympiads_ref,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,3,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0
pair_51cc9b9c,olympiads,0.5,0.5,0.3333333333333333,0.25,3,4,0.0,0.0,0.5,0.5,0.25,0.3333333333333333,0.0,0.0
pair_52f9db51,math_train,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_534d0f42,olympiads,0.5,0.5238095238095238,0.16666666666666666,0.2857142857142857,6,7,0.0,0.16666666666666666,0.5238095238095238,0.5,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.0
pair_54aff7bc,math_test,0.5,1.0,0.5,1.0,2,2,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0
pair_54b9a1f3,math_test,0.5,0.5,0.25,0.5,4,2,0.0,0.0,0.5,0.5,0.5,0.25,0.0,0.0
pair_57166f31,math_train,0.5,0.5,0.5,0.25,2,4,0.0,0.0,0.5,0.5,0.25,0.5,0.0,0.0
pair_586d4c59,olympiads,0.6,0.5,0.4,0.5,5,2,0.25,0.0,0.5,0.6,0.5,0.4,0.0,0.25
pair_58969aa7,olympiads,0.5,0.5,0.14285714285714285,0.16666666666666666,7,6,0.0,0.0,0.5,0.5,0.16666666666666666,0.14285714285714285,0.0,0.0
pair_58e22ef3,math_train,0.625,0.3333333333333333,0.25,0.0,8,3,0.14285714285714285,-0.49999999999999994,0.3333333333333333,0.625,0.0,0.25,-0.49999999999999994,0.14285714285714285
pair_592b30d0,cn_k12,0.5,0.5,0.25,0.5,4,2,0.0,0.0,0.5,0.5,0.5,0.25,0.0,0.0
pair_594faff7,math_train,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_5a4d9414,olympiads_ref,0.5833333333333334,0.5833333333333334,0.5,0.5,4,4,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.5,0.5,0.3333333333333333,0.3333333333333333
pair_5b95a74a,amc_aime,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_5c0a77f0,cn_k12,0.5333333333333333,0.41666666666666674,0.16666666666666666,0.0,6,4,0.0,-0.3333333333333333,0.41666666666666674,0.5333333333333333,0.0,0.16666666666666666,-0.3333333333333333,0.0
pair_5daf2594,olympiads_ref,0.5,0.0,0.5,0.0,2,2,0.0,-1.0,0.0,0.5,0.0,0.5,-1.0,0.0
pair_5e5e1c56,amc_aime,0.5,0.619047619047619,0.16666666666666666,0.42857142857142855,6,7,0.0,0.3333333333333333,0.619047619047619,0.5,0.42857142857142855,0.16666666666666666,0.3333333333333333,0.0
pair_5ee839bd,cn_contest,0.5,0.5,0.2,0.5,5,2,0.0,0.0,0.5,0.5,0.5,0.2,0.0,0.0
pair_5eec702b,math_test,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_60565fc7,number_theory,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_60775333,amc_aime,0.5,0.5357142857142857,0.25,0.25,4,8,0.0,0.14285714285714285,0.5357142857142857,0.5,0.25,0.25,0.14285714285714285,0.0
pair_6192e886,olympiads,0.5,0.5,0.125,0.3333333333333333,8,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.125,0.0,0.0
pair_622d6e5c,math_train,0.5,0.5,0.3333333333333333,0.5,3,2,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.0,0.0
pair_62cef497,math_test,0.5,0.7,0.16666666666666666,0.4,6,5,0.0,0.25,0.7,0.5,0.4,0.16666666666666666,0.25,0.0
pair_6369b437,math_test,0.5,0.5,0.5,0.25,2,4,0.0,0.0,0.5,0.5,0.25,0.5,0.0,0.0
pair_63bff39e,olympiads,0.5,0.5,0.14285714285714285,0.3333333333333333,7,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.14285714285714285,0.0,0.0
pair_665c7b43,secondary_math,0.43333333333333335,0.5,0.16666666666666666,0.25,6,4,0.0,0.0,0.5,0.43333333333333335,0.25,0.16666666666666666,0.0,0.0
pair_66fa86a6,cn_contest,0.4666666666666666,0.5,0.16666666666666666,0.3333333333333333,6,3,0.0,0.0,0.5,0.4666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0
pair_684fddf9,math_test,0.5,0.4166666666666667,0.25,0.25,4,4,0.0,0.0,0.4166666666666667,0.5,0.25,0.25,0.0,0.0
pair_68ecc999,olympiads_ref,0.7857142857142858,0.5952380952380952,0.375,0.14285714285714285,8,7,0.2857142857142857,0.0,0.5952380952380952,0.7857142857142858,0.14285714285714285,0.375,0.0,0.2857142857142857
pair_68f8a65f,math_train,0.5,0.55,0.3333333333333333,0.2,3,5,0.0,0.0,0.55,0.5,0.2,0.3333333333333333,0.0,0.0
pair_690944da,math_test,0.5333333333333333,0.5,0.16666666666666666,0.3333333333333333,6,3,0.0,0.0,0.5,0.5333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0
pair_6a6d5739,cn_contest,0.4761904761904762,0.5,0.14285714285714285,0.2,7,5,0.0,0.0,0.5,0.4761904761904762,0.2,0.14285714285714285,0.0,0.0
pair_6a7e9054,cn_contest,0.5,0.5,0.14285714285714285,0.25,7,4,0.0,0.0,0.5,0.5,0.25,0.14285714285714285,0.0,0.0
pair_6af41891,olympiads,0.6,0.5,0.4,0.2,5,5,0.25,0.0,0.5,0.6,0.2,0.4,0.0,0.25
pair_6e6563f4,olympiads,0.625,0.5,0.5,0.5,8,2,0.42857142857142855,0.0,0.5,0.625,0.5,0.5,0.0,0.42857142857142855
pair_6e9e1ef1,secondary_math,0.5,0.5,0.14285714285714285,0.2,7,5,0.0,0.0,0.5,0.5,0.2,0.14285714285714285,0.0,0.0
pair_6f8dd6ba,amc_aime,0.4666666666666666,0.5,0.16666666666666666,0.5,6,2,0.0,0.0,0.5,0.4666666666666666,0.5,0.16666666666666666,0.0,0.0
pair_72782f96,olympiads_ref,0.5,0.5,0.16666666666666666,0.5,6,2,0.0,0.0,0.5,0.5,0.5,0.16666666666666666,0.0,0.0
pair_72feda01,inequalities,0.5,0.5333333333333333,0.16666666666666666,0.16666666666666666,6,6,0.0,0.0,0.5333333333333333,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0
pair_7403e3c1,cn_k12,0.5,0.5,0.3333333333333333,0.5,3,2,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.0,0.0
pair_74d1dc10,math_train,0.5,0.5,0.5,0.3333333333333333,2,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.5,0.0,0.0
pair_7a0b5cdc,cn_contest,0.43333333333333335,0.5,0.0,0.3333333333333333,6,3,-0.19999999999999998,0.0,0.5,0.43333333333333335,0.3333333333333333,0.0,0.0,-0.19999999999999998
pair_7c53417b,olympiads_ref,0.5,0.5,0.16666666666666666,0.5,6,2,0.0,0.0,0.5,0.5,0.5,0.16666666666666666,0.0,0.0
pair_7d3c827c,cn_k12,0.5,0.5,0.5,0.3333333333333333,2,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.5,0.0,0.0
pair_7ebb150b,olympiads_ref,0.5,0.5,0.16666666666666666,0.25,6,4,0.0,0.0,0.5,0.5,0.25,0.16666666666666666,0.0,0.0
pair_7ef3ed9d,olympiads,0.4761904761904762,0.5,0.14285714285714285,0.2,7,5,0.0,0.0,0.5,0.4761904761904762,0.2,0.14285714285714285,0.0,0.0
pair_7f6de6ca,number_theory,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_7fba6209,olympiads,0.5,0.5,0.2,0.25,5,4,0.0,0.0,0.5,0.5,0.25,0.2,0.0,0.0
pair_8016ed30,olympiads,0.5,0.5,0.125,0.5,8,2,0.0,0.0,0.5,0.5,0.5,0.125,0.0,0.0
pair_80fe2f92,olympiads,0.5,0.6190476190476192,0.5,0.14285714285714285,4,7,0.3333333333333333,0.0,0.6190476190476192,0.5,0.14285714285714285,0.5,0.0,0.3333333333333333
pair_820bfdd6,cn_contest,0.5,0.5,0.2,0.5,5,2,0.0,0.0,0.5,0.5,0.5,0.2,0.0,0.0
pair_83baa99c,olympiads,0.5,0.5,0.3333333333333333,0.3333333333333333,3,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.0
pair_84aa00eb,amc_aime,0.5,0.5,0.5,0.3333333333333333,2,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.5,0.0,0.0
pair_856882cd,math_test,0.55,0.45,0.2,0.2,5,5,0.0,0.0,0.45,0.55,0.2,0.2,0.0,0.0
pair_89c9c092,amc_aime,0.5,1.0,0.16666666666666666,1.0,6,2,0.0,1.0,1.0,0.5,1.0,0.16666666666666666,1.0,0.0
pair_89f14cf3,math_test,0.5178571428571429,0.5,0.125,0.3333333333333333,8,3,0.0,0.0,0.5,0.5178571428571429,0.3333333333333333,0.125,0.0,0.0
pair_8a69db34,olympiads_ref,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_8d2bcfbf,aops_forum,0.5,0.5,0.25,0.5,4,2,0.0,0.0,0.5,0.5,0.5,0.25,0.0,0.0
pair_8f6e0946,math_train,0.5,0.5,0.3333333333333333,0.5,3,2,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.0,0.0
pair_90ba49de,olympiads,0.5,0.5,0.5,0.3333333333333333,2,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.5,0.0,0.0
pair_9104a005,cn_k12,0.0,0.5,0.0,0.2,2,5,-1.0,0.0,0.5,0.0,0.2,0.0,0.0,-1.0
pair_91985085,olympiads_ref,0.4666666666666666,0.5,0.16666666666666666,0.3333333333333333,6,3,0.0,0.0,0.5,0.4666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.0
pair_93909f26,math_test,0.5,0.5,0.2,0.25,5,4,0.0,0.0,0.5,0.5,0.25,0.2,0.0,0.0
pair_9492d22f,amc_aime,0.5476190476190477,0.5833333333333334,0.2857142857142857,0.25,7,4,0.16666666666666666,0.0,0.5833333333333334,0.5476190476190477,0.25,0.2857142857142857,0.0,0.16666666666666666
pair_993b7ef0,olympiads,0.42857142857142855,0.5,0.0,0.3333333333333333,7,3,-0.16666666666666666,0.0,0.5,0.42857142857142855,0.3333333333333333,0.0,0.0,-0.16666666666666666
pair_994a5f19,olympiads_ref,0.5,0.5,0.16666666666666666,0.3333333333333333,6,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0
pair_997d6d90,olympiads,0.5,0.5,0.25,0.5,4,2,0.0,0.0,0.5,0.5,0.5,0.25,0.0,0.0
pair_99b89cb7,olympiads,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_99b95cc2,olympiads_ref,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_9ba9d876,number_theory,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_9c18f8d3,aops_forum,0.5,0.5,0.14285714285714285,0.14285714285714285,7,7,0.0,0.0,0.5,0.5,0.14285714285714285,0.14285714285714285,0.0,0.0
pair_9faef40c,olympiads,0.5238095238095238,0.5,0.14285714285714285,0.25,7,4,0.0,0.0,0.5,0.5238095238095238,0.25,0.14285714285714285,0.0,0.0
pair_a0b965e9,olympiads,0.5,0.5666666666666667,0.125,0.5,8,6,0.0,0.4,0.5666666666666667,0.5,0.5,0.125,0.4,0.0
pair_a0cf4dfe,amc_aime,0.55,0.45,0.2,0.0,5,5,0.0,-0.25,0.45,0.55,0.0,0.2,-0.25,0.0
pair_a0e4b1be,math_test,0.5,0.65,0.3333333333333333,0.6,3,5,0.0,0.49999999999999994,0.65,0.5,0.6,0.3333333333333333,0.49999999999999994,0.0
pair_a243cec8,olympiads_ref,0.5,0.5,0.2,0.5,5,2,0.0,0.0,0.5,0.5,0.5,0.2,0.0,0.0
pair_a3b6f8e9,aops_forum,0.5,0.55,0.3333333333333333,0.2,3,5,0.0,0.0,0.55,0.5,0.2,0.3333333333333333,0.0,0.0
pair_a4ad52ae,cn_k12,0.5,0.5,0.5,0.3333333333333333,2,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.5,0.0,0.0
pair_a663aca4,math_train,0.5,0.5,0.25,0.3333333333333333,4,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.25,0.0,0.0
pair_a9100fa4,amc_aime,0.5,0.5,0.25,0.3333333333333333,4,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.25,0.0,0.0
pair_abe2c6a9,olympiads,0.5,0.5238095238095238,0.25,0.14285714285714285,4,7,0.0,0.0,0.5238095238095238,0.5,0.14285714285714285,0.25,0.0,0.0
pair_acaa8786,aops_forum,0.5,0.5,0.14285714285714285,0.14285714285714285,7,7,0.0,0.0,0.5,0.5,0.14285714285714285,0.14285714285714285,0.0,0.0
pair_ade31444,math_train,0.5,0.5,0.16666666666666666,0.5,6,2,0.0,0.0,0.5,0.5,0.5,0.16666666666666666,0.0,0.0
pair_af58b0a0,cn_k12,0.5238095238095238,0.5,0.14285714285714285,0.5,7,2,0.0,0.0,0.5,0.5238095238095238,0.5,0.14285714285714285,0.0,0.0
pair_b1e067c3,olympiads,0.5,0.5,0.3333333333333333,0.5,3,2,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.0,0.0
pair_b21f3236,olympiads,0.5,0.5,0.3333333333333333,0.14285714285714285,3,7,0.0,0.0,0.5,0.5,0.14285714285714285,0.3333333333333333,0.0,0.0
pair_b2bf4978,inequalities,0.5,0.5,0.3333333333333333,0.5,3,2,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.0,0.0
pair_b40cb2db,math_test,0.5,0.5,0.5,0.3333333333333333,2,3,0.0,0.0,0.5,0.5,0.3333333333333333,0.5,0.0,0.0
pair_b4fb9d1e,math_train,0.55,0.5,0.4,0.25,5,4,0.25,0.0,0.5,0.55,0.25,0.4,0.0,0.25
pair_b5dab1a1,amc_aime,0.5,0.5,0.5,0.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0
pair_b74058ae,aops_forum,0.5,0.5,0.3333333333333333,0.5,3,2,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.0,0.0
pair_b8542067,cn_contest,0.5,0.5,0.2,0.25,5,4,0.0,0.0,0.5,0.5,0.25,0.2,0.0,0.0
pair_bc9a98ea,olympiads,0.5833333333333334,0.5833333333333334,0.25,0.25,4,4,0.0,0.0,0.5833333333333334,0.5833333333333334,0.25,0.25,0.0,0.0
